MedInc,HouseAge,AveRooms
3.2596,33.0,5.017656500802568
3.8125,49.0,4.473544973544974
4.1563,4.0,5.645833333333333
1.9425,36.0,4.002816901408451
3.5542,43.0,6.268421052631579
6.6227,20.0,6.282147315855181
2.5192,28.0,4.345360824742268
7.9892,37.0,6.052757793764988
1.5,5.0,3.620578778135048
6.4266,5.0,6.730284479654303
4.2167,52.0,5.742690058479532
2.2303,25.0,3.2417391304347825
2.875,13.0,6.490259740259741
2.0972,36.0,3.0126582278481013
2.8125,46.0,4.722033898305085
3.1667,36.0,5.054474708171206
2.8924,52.0,5.355353075170843
4.4063,20.0,5.900560224089636
4.233,34.0,4.99436090225564
1.4329,21.0,3.057761732851985
2.1935,31.0,4.794029850746269
8.5425,35.0,7.508403361344538
2.7171,22.0,6.041899441340783
1.575,43.0,3.987138263665595
2.2583,18.0,7.046728971962617
5.4171,52.0,6.764705882352941
0.8252,15.0,5.05
3.5039,46.0,3.75
3.8792,22.0,4.715254237288136
2.4881,29.0,6.101910828025478
2.7216,32.0,5.366594360086768
4.071,2.0,6.28139534883721
2.825,39.0,4.530898876404494
2.5119,37.0,3.9292929292929295
3.4421,31.0,4.725907384230288
3.5893,35.0,5.966911764705882
2.0119,17.0,5.388781431334623
3.1901,52.0,4.7309417040358746
5.0778,16.0,6.274356103023516
0.9702,28.0,2.5576470588235294
11.1978,32.0,7.270343580470163
3.94,31.0,5.090384615384616
4.0156,35.0,6.1953125
6.019,42.0,5.7024539877300615
3.6289,25.0,4.568831168831169
3.2369,17.0,4.465677179962894
2.8417,45.0,5.078726968174204
3.1957,29.0,4.355839416058394
3.1131,25.0,4.751798561151079
4.0524,52.0,5.291666666666667
2.4038,46.0,3.6126543209876543
4.475,43.0,5.635658914728682
3.0,31.0,5.2772277227722775
2.6678,34.0,5.076219512195122
3.2411,52.0,5.1488203266787655
8.7591,4.0,7.422045680238332
11.3421,4.0,8.115079365079366
1.2083,39.0,5.219512195121951
2.7917,49.0,5.128865979381444
2.9258,26.0,4.302005012531328
2.0529,43.0,3.845878136200717
3.3068,50.0,4.622291021671827
1.75,17.0,5.474358974358975
3.1964,18.0,9.789473684210526
5.6936,5.0,4.586206896551724
5.3369,40.0,5.709677419354839
3.3409,8.0,3.849744711889132
1.9779,49.0,4.971731448763251
1.1483,36.0,2.956451612903226
4.9886,8.0,7.050669772859639
5.3951,37.0,5.142011834319527
1.75,27.0,4.90625
1.2286,28.0,3.080808080808081
5.2415,12.0,5.1610337972167
2.774,22.0,5.114023591087811
1.7895,34.0,4.395904436860068
3.2301,23.0,4.79933110367893
2.3373,21.0,5.970642201834862
3.6635,36.0,5.580459770114943
4.7188,27.0,6.393548387096774
2.5763,28.0,3.4306451612903226
2.6914,52.0,4.846575342465753
5.0929,41.0,5.63265306122449
3.5129,25.0,5.725490196078432
5.7321,18.0,6.814953271028037
2.45,42.0,3.624521072796935
2.9705,23.0,4.615671641791045
2.9417,39.0,4.0817843866171
5.3962,23.0,6.897047086991221
4.9018,17.0,6.2
3.045,26.0,4.44364012409514
1.4853,45.0,5.285714285714286
6.6605,29.0,7.825396825396825
7.0285,45.0,6.440191387559809
4.4063,9.0,4.564426877470356
4.8125,34.0,5.873417721518988
1.685,44.0,4.168181818181818
1.975,52.0,2.8
5.0,20.0,6.46530612244898
6.4468,43.0,5.948198198198198
3.0185,17.0,4.205479452054795
2.6214,7.0,5.491089108910892
2.6493,17.0,3.13215859030837
3.5462,19.0,5.226640159045726
4.9643,37.0,7.1063829787234045
2.4559,28.0,4.681528662420382
3.2891,29.0,6.062962962962963
3.7466,29.0,5.446315789473684
5.7248,39.0,7.679775280898877
7.2494,6.0,7.60075329566855
4.9231,8.0,4.748936170212766
3.5719,19.0,4.387329591018444
3.5292,36.0,3.7252559726962455
2.7969,38.0,4.06701030927835
2.8438,21.0,4.714953271028038
3.2813,33.0,5.15268817204301
1.9194,27.0,5.029885057471264
6.0102,16.0,6.78827361563518
4.5625,34.0,5.764119601328904
1.2575,26.0,3.8875
5.0,42.0,5.224899598393574
8.2653,4.0,7.231265108783239
4.2891,52.0,5.099730458221024
3.5938,46.0,4.731543624161074
6.759,4.0,7.361419068736142
4.7813,21.0,5.741176470588235
1.6378,26.0,4.981927710843373
3.6373,52.0,6.841397849462366
4.3269,35.0,6.648809523809524
3.0521,38.0,4.936708860759493
3.3929,39.0,6.656626506024097
2.9167,34.0,4.588235294117647
6.235,44.0,5.92972972972973
2.1516,52.0,2.75
4.7891,22.0,6.025817555938038
5.0605,24.0,5.660714285714286
1.5064,42.0,4.3858615611192935
5.0762,11.0,5.91554054054054
1.119,9.0,3.569230769230769
4.0153,25.0,4.276595744680851
1.324,19.0,3.31056466302368
4.6528,32.0,5.657505285412262
7.732,18.0,7.26171875
5.0761,35.0,6.1072507552870094
4.0673,35.0,5.386885245901639
3.1406,20.0,5.48469387755102
2.0938,39.0,5.59433962264151
6.4232,41.0,5.3578947368421055
3.8465,17.0,5.134993446920053
2.1864,17.0,5.818443804034582
1.7062,45.0,4.943502824858757
5.1923,44.0,6.403614457831325
5.7519,27.0,6.298192771084337
4.7952,22.0,6.365973072215422
3.7479,17.0,5.084084084084084
5.8343,15.0,6.598726114649682
6.0368,22.0,6.611336032388664
3.7917,36.0,5.579088471849866
6.2575,15.0,7.35546875
2.4432,37.0,2.866799204771372
2.5848,52.0,3.8996960486322174
4.87,19.0,5.662109375
7.1997,13.0,19.468
0.9304,24.0,2.8344155844155843
2.875,44.0,5.434650455927052
3.1375,11.0,4.716374269005848
3.5048,13.0,4.188760806916426
1.1346,42.0,3.5921052631578947
3.8547,17.0,5.6647058823529415
4.2955,45.0,5.36624203821656
2.1366,23.0,2.269607843137255
5.0893,25.0,4.393530997304582
1.7262,36.0,4.521604938271605
6.0774,29.0,7.870967741935484
1.65,41.0,3.8817480719794335
2.8882,32.0,4.6103896103896105
8.8204,22.0,7.449180327868852
2.9712,52.0,10.105105105105103
2.3859,31.0,3.735218508997429
3.3618,34.0,5.114967462039045
3.5258,13.0,6.099709583736689
2.1422,19.0,3.79951690821256
1.9571,15.0,4.440993788819876
7.1621,45.0,6.8575
1.3042,45.0,3.953379953379953
4.8021,22.0,4.94750656167979
8.0755,52.0,6.253822629969419
3.7143,49.0,6.201086956521739
2.2596,33.0,3.8104089219330857
4.3,34.0,5.990066225165563
2.0564,38.0,4.904
4.1,27.0,5.522491349480969
2.087,33.0,6.141975308641976
5.9073,35.0,5.837340876944837
9.8937,29.0,7.966029723991507
2.6477,40.0,6.299465240641712
2.9647,16.0,7.537023186237846
1.983,42.0,4.555147058823529
3.5302,52.0,5.586056644880174
2.8966,29.0,5.234285714285714
4.0833,34.0,7.03030303030303
5.3272,3.0,6.982358402971216
3.8068,19.0,5.214285714285714
1.2864,40.0,2.5520702634880803
4.5714,26.0,5.044444444444444
5.359,16.0,8.116279069767442
2.4835,43.0,4.253731343283582
5.8362,32.0,6.511029411764706
2.2532,46.0,5.085011185682327
3.425,28.0,5.421212121212121
2.8625,21.0,4.958695652173913
3.9167,35.0,5.771241830065359
3.1441,33.0,4.827285921625545
4.6071,14.0,5.674698795180723
1.4464,30.0,3.657794676806084
3.0132,44.0,4.90566037735849
3.2083,46.0,5.531468531468532
5.1795,37.0,5.406360424028269
4.9559,43.0,6.6923076923076925
4.8333,9.0,5.201092896174863
2.375,20.0,5.818639798488665
1.5833,42.0,4.641821946169772
2.2804,42.0,3.828009828009828
1.995,8.0,3.4344422700587085
3.9812,9.0,7.1913875598086126
7.7072,34.0,7.144486692015209
1.5122,19.0,3.948186528497409
2.8569,52.0,4.703315881326352
1.2404,52.0,4.757575757575758
3.3095,33.0,5.474120082815735
3.0465,34.0,4.754137115839243
2.5667,40.0,6.5120481927710845
0.9437,52.0,2.611111111111111
4.8516,13.0,6.15014164305949
7.1497,21.0,6.755244755244755
2.4726,15.0,5.180576631259484
0.536,26.0,7.846153846153846
4.6,28.0,5.238888888888889
4.918,36.0,6.169491525423729
1.9375,52.0,4.209677419354839
5.2037,25.0,5.885931558935361
4.7344,18.0,3.554655870445344
2.5795,17.0,5.349304482225657
2.0304,51.0,4.64203233256351
4.6184,36.0,5.760135135135135
2.3937,20.0,18.79352226720648
4.0268,44.0,5.657718120805369
3.111,5.0,4.44125159642401
5.9617,26.0,6.635696821515892
4.8953,21.0,5.395806028833552
3.1607,20.0,6.161849710982659
3.9808,35.0,5.3099630996309966
2.3152,16.0,5.174934725848564
0.9227,11.0,37.0
3.0687,37.0,3.1531531531531534
2.5893,27.0,4.209966777408638
2.4107,21.0,6.568627450980392
3.6442,43.0,5.304347826086956
5.6235,51.0,5.800904977375565
4.4958,19.0,5.8997668997669
1.9668,30.0,3.206115515288788
3.0139,11.0,5.347712418300653
4.0227,26.0,5.889655172413793
2.234,19.0,5.988352745424293
3.6875,15.0,4.170786516853933
4.75,21.0,4.602739726027397
5.4876,35.0,6.163265306122449
1.3462,33.0,4.563559322033898
1.9495,26.0,3.2094763092269325
4.3187,32.0,4.170854271356784
8.4284,8.0,7.526785714285714
2.3,37.0,4.2898550724637685
3.7716,20.0,4.176360225140713
2.8042,19.0,3.935849056603773
6.8482,34.0,6.296724470134874
5.3735,36.0,5.681818181818182
2.65,28.0,4.262987012987013
3.125,19.0,4.2
1.175,52.0,4.958158995815899
3.5039,29.0,5.921501706484642
2.8447,16.0,5.498989898989899
2.0433,34.0,3.142857142857143
2.0657,35.0,5.105982905982906
3.1927,21.0,3.6355871886121
4.9222,7.0,6.279615795090715
1.0667,31.0,12.808510638297872
5.3683,34.0,5.81786941580756
1.4189,43.0,2.455384615384616
2.6458,16.0,2.989795918367347
3.1129,42.0,4.7325842696629215
3.9722,34.0,6.027713625866051
3.0021,19.0,5.934803451581975
5.7415,17.0,4.787307032590052
12.9591,49.0,7.5
5.0016,19.0,5.531431897555297
4.6349,31.0,6.052795031055901
4.3029,16.0,6.090592334494773
5.6582,34.0,6.092250922509225
1.55,46.0,4.553892215568863
2.8882,10.0,7.8519736842105265
2.0658,34.0,5.938144329896907
7.9068,17.0,7.66219723183391
6.8374,27.0,6.972527472527473
5.6604,22.0,6.266519823788546
4.4286,35.0,5.061855670103093
10.0968,20.0,7.790697674418604
1.1806,24.0,4.3969696969696965
2.19,35.0,4.206806282722513
4.4464,34.0,5.081585081585081
3.4471,31.0,5.326388888888889
4.9464,14.0,5.097165991902834
7.5078,24.0,7.022857142857143
5.4496,17.0,6.180989978742788
4.9957,22.0,5.718222222222222
9.6023,21.0,8.286652078774617
3.5154,19.0,3.305290546400694
5.6015,33.0,5.913612565445026
3.7014,32.0,4.957746478873239
2.2391,43.0,3.406882591093117
3.9667,25.0,5.008988764044944
3.6006,34.0,4.617710583153348
3.1049,19.0,4.644695543000628
3.2891,27.0,5.240331491712707
4.0972,32.0,4.716981132075472
3.3438,29.0,5.803347280334728
5.5701,34.0,7.170616113744076
4.1172,37.0,5.256613756613756
2.6576,23.0,5.163003663003663
4.4087,3.0,5.385964912280702
4.0144,5.0,5.812903225806451
2.3917,15.0,5.010060362173038
1.9125,39.0,4.53030303030303
3.0179,7.0,5.79245283018868
5.9277,38.0,6.356502242152466
2.1563,36.0,6.042194092827004
6.4504,35.0,5.2428884026258205
2.125,37.0,3.657492354740061
8.7819,20.0,7.484251968503937
6.6661,32.0,6.85996705107084
2.6932,30.0,6.058282208588957
4.875,19.0,6.024137931034483
6.0175,15.0,7.13681592039801
2.9934,35.0,3.349425287356322
5.2648,12.0,5.608808290155441
4.412,8.0,5.548330404217926
3.3869,40.0,3.622950819672131
4.4766,24.0,5.670761670761671
3.7622,16.0,4.87479674796748
4.0652,52.0,5.365566037735849
3.9423,39.0,5.5096525096525095
3.2639,31.0,3.890365448504984
2.6607,52.0,3.123134328358209
3.0187,16.0,3.883578431372549
3.7655,26.0,4.352494577006508
4.1083,41.0,4.244565217391305
1.8485,48.0,4.754385964912281
5.9024,21.0,6.397476340694007
5.752,35.0,5.728571428571429
3.4375,34.0,5.293478260869565
4.2917,52.0,6.329545454545454
4.4659,32.0,5.321621621621621
7.0059,39.0,6.681592039800995
5.2888,32.0,5.951672862453532
4.0598,44.0,4.3828125
4.0775,28.0,3.9328358208955225
2.9219,17.0,4.457875457875458
3.3269,22.0,7.677083333333333
2.9271,32.0,4.102564102564102
3.625,52.0,4.290094339622642
2.5964,29.0,3.8279220779220777
1.3571,36.0,3.982689747003995
4.2059,24.0,6.069620253164557
3.2792,32.0,4.657894736842105
7.8347,45.0,7.251833740831296
1.5294,39.0,3.6512261580381473
2.8,42.0,4.791666666666667
3.9024,13.0,5.759342301943199
6.994,27.0,7.159685863874346
3.7816,21.0,4.471955533097524
3.1389,23.0,4.052013422818792
1.4583,15.0,4.023148148148148
4.0375,29.0,6.447222222222222
3.125,39.0,3.745614035087719
1.375,52.0,2.697247706422018
7.5695,16.0,7.992990654205608
2.1734,34.0,4.622377622377623
6.1632,32.0,6.4681372549019605
1.5489,13.0,5.65
4.3571,16.0,4.142857142857143
1.0398,25.0,5.465798045602606
2.1845,34.0,4.987951807228916
2.4537,35.0,3.915841584158416
5.2375,6.0,7.450549450549451
3.9732,35.0,6.082857142857143
2.1991,44.0,3.08
4.9757,35.0,7.049608355091384
6.155,52.0,7.048076923076923
4.2096,37.0,5.58235294117647
2.5352,32.0,3.717299578059072
3.4886,13.0,6.840723981900452
2.3594,43.0,3.804560260586319
4.526,19.0,7.042780748663102
2.8024,16.0,3.5517241379310347
4.8214,35.0,5.523668639053255
3.1771,5.0,7.625531914893617
2.2083,23.0,7.781456953642384
2.4821,37.0,5.250712250712251
6.223,10.0,5.740869565217391
3.0,25.0,5.271084337349397
3.1563,17.0,6.095384615384615
1.55,36.0,3.1495016611295683
7.8013,19.0,7.248275862068965
4.0694,16.0,5.651408450704225
10.1299,25.0,8.23963133640553
4.1518,13.0,6.1980676328502415
3.9417,33.0,6.194895591647332
4.0583,17.0,6.404255319148936
2.5,10.0,5.381443298969073
3.2024,40.0,5.373068432671082
2.0064,52.0,4.618037135278515
3.7611,12.0,5.390625
2.4012,18.0,5.234793187347932
2.4375,30.0,5.165198237885463
2.5263,52.0,5.81981981981982
2.67,30.0,3.9306666666666654
5.5599,26.0,6.21608040201005
1.1141,39.0,4.566964285714286
2.9312,25.0,4.5
4.125,5.0,5.734177215189874
5.0234,37.0,5.774941995359629
5.4409,4.0,7.853351955307263
3.2833,38.0,5.560165975103734
3.9963,4.0,6.761377613776138
1.0918,52.0,2.2533333333333334
3.1892,25.0,4.037037037037037
4.6065,22.0,5.3895348837209305
5.521,23.0,6.735172413793103
7.0548,34.0,6.125
6.3955,25.0,7.367595818815331
1.815,52.0,2.8531468531468533
3.1382,14.0,4.956442831215971
1.7301,5.0,3.1649122807017545
5.2849,16.0,5.907303370786517
2.0673,27.0,4.039660056657223
2.675,33.0,4.698412698412699
2.2141,25.0,4.375757575757576
5.0099,24.0,7.137809187279152
2.0915,47.0,4.57957957957958
2.0817,35.0,4.481481481481482
4.8125,48.0,6.764309764309765
1.6875,52.0,3.0892857142857144
3.7167,52.0,4.94
6.5538,7.0,6.309623430962343
3.6308,21.0,5.022079116835327
6.8645,17.0,8.642585551330798
3.4827,11.0,5.072098053352559
3.4605,52.0,4.838235294117647
2.9148,15.0,4.285957446808511
6.7079,17.0,6.101923076923077
4.2386,25.0,6.010840108401084
4.072,24.0,4.781065088757397
5.9378,15.0,7.572769953051643
4.9844,29.0,6.002247191011236
2.9107,28.0,4.083333333333333
5.0462,34.0,6.370491803278688
4.7386,21.0,5.7405405405405405
4.3081,20.0,4.198609731876862
2.1528,31.0,4.457286432160804
3.4,23.0,5.424107142857143
3.5114,52.0,4.411347517730497
2.5833,28.0,5.520833333333333
1.6437,24.0,4.307479224376731
2.375,35.0,4.440329218106996
5.1538,23.0,6.781659388646288
2.8676,46.0,4.122969837587007
3.0,36.0,5.5369127516778525
6.7042,18.0,6.197241379310345
5.7338,5.0,5.804012345679013
2.4049,31.0,3.5402298850574714
3.9722,36.0,5.850467289719626
3.1801,29.0,4.814814814814815
4.7097,12.0,6.505263157894737
5.2601,13.0,4.156378600823046
3.0703,34.0,4.371287128712871
6.3215,4.0,7.2110091743119265
3.4091,41.0,4.946987951807229
3.3482,41.0,4.078947368421052
3.8,41.0,4.773892773892774
4.7308,35.0,5.666666666666667
5.259,13.0,6.733133433283358
2.066,9.0,4.291390728476821
2.996,22.0,7.247058823529412
2.3,16.0,4.498084291187739
6.3013,49.0,7.0185528756957325
6.0289,23.0,7.289029535864979
2.5185,36.0,4.03728813559322
2.8727,33.0,4.0948419301164725
1.925,43.0,2.3435582822085887
3.6429,28.0,5.249180327868852
3.0833,27.0,4.714285714285714
4.2045,16.0,7.266129032258065
3.5959,9.0,5.24160346695558
6.5382,24.0,7.308943089430894
3.4359,21.0,5.506410256410256
2.944,52.0,4.1239092495637
5.0772,17.0,5.243967828418231
2.83,22.0,6.1923076923076925
5.5875,3.0,6.875930521091812
3.8081,25.0,5.1837160751565765
1.9028,51.0,4.056122448979592
4.1161,34.0,5.46875
4.0703,10.0,6.343575418994414
2.2259,24.0,3.1024
3.5096,31.0,5.64055944055944
2.4191,3.0,6.274193548387097
2.6104,37.0,3.707142857142857
1.2347,41.0,3.836518046709129
5.6683,23.0,5.610939907550077
3.5426,26.0,5.301321585903084
3.6587,45.0,5.343839541547278
1.4338,26.0,7.177215189873418
3.5,32.0,4.316666666666666
3.8343,38.0,5.355223880597015
2.4338,49.0,4.703933747412008
3.9792,34.0,5.976645435244161
2.3029,45.0,4.472602739726027
4.2647,26.0,5.943462897526501
3.9243,34.0,5.601343784994401
5.1457,35.0,6.958333333333333
3.4125,30.0,4.489010989010989
3.6354,17.0,5.471061093247588
4.835,28.0,5.941908713692946
2.4297,51.0,3.284313725490196
3.0187,24.0,4.173775671406003
3.0,13.0,6.177285318559557
