datetime,symbol,open,high,low,close,volume
2026-04-24,ADA/USDT,0.2499,0.2529,0.2472,0.2502,19064390.2271
2026-04-25,ADA/USDT,0.2503,0.254,0.2482,0.2501,21435122.8042
2026-04-26,ADA/USDT,0.2502,0.2543,0.2485,0.2521,16342529.7545
2026-04-27,ADA/USDT,0.2522,0.2561,0.2429,0.2481,31022014.464
2026-04-28,ADA/USDT,0.2482,0.2489,0.2443,0.2469,13692610.4819
2026-04-29,ADA/USDT,0.2469,0.254,0.2382,0.2445,35997794.9041
2026-04-30,ADA/USDT,0.2446,0.2484,0.2445,0.2463,14653514.8933
2026-05-01,ADA/USDT,0.2463,0.2512,0.246,0.2482,12736714.2499
2026-05-02,ADA/USDT,0.2483,0.2529,0.247,0.2503,11420053.6719
2026-05-03,ADA/USDT,0.2503,0.2518,0.2474,0.2496,13681504.4755
2026-05-04,ADA/USDT,0.2496,0.2551,0.2471,0.2499,21323687.9928
2026-05-05,ADA/USDT,0.25,0.2658,0.2497,0.262,33012340.3836
2026-05-06,ADA/USDT,0.2619,0.2738,0.2599,0.267,34836392.3086
2026-05-07,ADA/USDT,0.267,0.2703,0.2597,0.2627,24916000.3818
2026-05-08,ADA/USDT,0.2627,0.2787,0.2601,0.2736,18902908.6301
2026-05-09,ADA/USDT,0.2736,0.2784,0.2694,0.2709,11974787.9927
2026-05-10,ADA/USDT,0.2709,0.2886,0.2683,0.2824,32177181.4468
2026-05-11,ADA/USDT,0.2824,0.2835,0.2741,0.2804,19867807.7379
2026-05-12,ADA/USDT,0.2803,0.2818,0.2671,0.271,26193723.2024
2026-05-13,ADA/USDT,0.2711,0.2777,0.2612,0.2648,29950104.9942
2026-05-14,ADA/USDT,0.2648,0.2804,0.2622,0.2706,21502466.5088
2026-05-15,ADA/USDT,0.2706,0.2729,0.257,0.2616,17325698.12
2026-05-16,ADA/USDT,0.2616,0.2624,0.2521,0.2551,12211667.4806
2026-05-17,ADA/USDT,0.2552,0.2582,0.2451,0.2522,17872533.3582
2026-05-18,ADA/USDT,0.2521,0.2531,0.2462,0.2517,15679046.9358
2026-05-19,ADA/USDT,0.2517,0.2535,0.2471,0.2483,11661525.9699
2026-05-20,ADA/USDT,0.2483,0.2516,0.2471,0.2492,19096798.6497
2026-05-21,ADA/USDT,0.2493,0.2538,0.2457,0.2507,20155173.3223
2026-05-22,ADA/USDT,0.2507,0.2546,0.2411,0.2424,21206111.3362
2026-05-23,ADA/USDT,0.2425,0.2442,0.236,0.242,15263663.3547
