datetime,symbol,open,high,low,close,volume
2026-04-24,AVAX/USDT,9.383,9.476,9.283,9.4,180117.316863
2026-04-25,AVAX/USDT,9.401,9.5,9.287,9.364,139559.942654
2026-04-26,AVAX/USDT,9.365,9.545,9.315,9.454,204186.064876
2026-04-27,AVAX/USDT,9.455,9.563,9.081,9.268,312406.471101
2026-04-28,AVAX/USDT,9.269,9.275,9.113,9.178,176505.224254
2026-04-29,AVAX/USDT,9.177,9.444,8.916,9.124,415479.445508
2026-04-30,AVAX/USDT,9.128,9.227,9.052,9.094,146579.823598
2026-05-01,AVAX/USDT,9.095,9.273,9.063,9.089,200222.082226
2026-05-02,AVAX/USDT,9.09,9.25,9.066,9.183,124906.705452
2026-05-03,AVAX/USDT,9.187,9.197,8.969,9.085,289938.883986
2026-05-04,AVAX/USDT,9.084,9.382,8.995,9.175,530562.881735
2026-05-05,AVAX/USDT,9.176,9.529,9.176,9.408,443006.651994
2026-05-06,AVAX/USDT,9.404,9.781,9.366,9.615,533735.804255
2026-05-07,AVAX/USDT,9.614,9.707,9.371,9.505,291429.451179
2026-05-08,AVAX/USDT,9.506,10.025,9.43,9.905,409087.279254
2026-05-09,AVAX/USDT,9.905,10.124,9.799,9.962,282005.795816
2026-05-10,AVAX/USDT,9.961,10.489,9.855,10.225,449823.881698
2026-05-11,AVAX/USDT,10.224,10.271,9.973,10.135,307283.367306
2026-05-12,AVAX/USDT,10.136,10.168,9.67,9.836,241255.904042
2026-05-13,AVAX/USDT,9.834,10.155,9.62,9.756,286266.520792
2026-05-14,AVAX/USDT,9.757,10.139,9.634,9.903,291886.440889
2026-05-15,AVAX/USDT,9.904,9.96,9.408,9.539,215946.775614
2026-05-16,AVAX/USDT,9.539,9.571,9.19,9.294,171499.565053
2026-05-17,AVAX/USDT,9.292,9.415,8.941,9.195,202906.69248
2026-05-18,AVAX/USDT,9.194,9.271,9.011,9.251,241045.68323
2026-05-19,AVAX/USDT,9.252,9.316,9.023,9.102,168445.210012
2026-05-20,AVAX/USDT,9.102,9.398,9.06,9.297,137571.659732
2026-05-21,AVAX/USDT,9.296,9.517,9.249,9.452,209689.612624
2026-05-22,AVAX/USDT,9.453,9.606,9.094,9.152,243663.21319
2026-05-23,AVAX/USDT,9.153,9.214,8.84,9.123,125250.810189
