datetime,symbol,open,high,low,close,volume
2026-04-24,BCH/USDT,460.7,461.6,454.6,456.4,2889.531626
2026-04-25,BCH/USDT,456.4,456.7,452.2,453.0,2452.89366
2026-04-26,BCH/USDT,453.1,455.7,450.5,454.9,1940.064401
2026-04-27,BCH/USDT,455.0,457.9,446.4,449.9,3680.100778
2026-04-28,BCH/USDT,449.8,454.1,442.6,453.5,2616.016028
2026-04-29,BCH/USDT,453.5,455.4,441.8,447.5,2525.15785
2026-04-30,BCH/USDT,447.5,449.2,440.4,441.0,4351.527938
2026-05-01,BCH/USDT,441.1,458.2,441.1,450.5,4060.693152
2026-05-02,BCH/USDT,450.9,453.0,444.4,445.6,1708.859843
2026-05-03,BCH/USDT,445.9,447.6,442.6,443.2,1039.637072
2026-05-04,BCH/USDT,443.2,450.6,437.0,443.8,4423.138166
2026-05-05,BCH/USDT,443.9,464.3,443.1,461.2,7760.504113
2026-05-06,BCH/USDT,461.3,489.1,458.4,465.7,12730.262435
2026-05-07,BCH/USDT,466.0,466.4,448.4,450.3,3478.959533
2026-05-08,BCH/USDT,450.3,454.5,447.8,450.5,2265.488516
2026-05-09,BCH/USDT,450.5,453.9,448.2,449.9,2315.385706
2026-05-10,BCH/USDT,449.9,465.4,449.2,464.3,3402.338418
2026-05-11,BCH/USDT,464.4,465.0,447.7,450.2,4324.347529
2026-05-12,BCH/USDT,450.2,450.4,436.0,439.4,5323.673047
2026-05-13,BCH/USDT,439.5,444.7,430.2,434.0,4280.648351
2026-05-14,BCH/USDT,434.1,438.7,431.5,434.9,2167.941694
2026-05-15,BCH/USDT,434.9,437.4,423.9,426.8,2673.553609
2026-05-16,BCH/USDT,427.2,427.9,410.7,415.8,5804.534854
2026-05-17,BCH/USDT,415.9,417.0,398.9,404.8,3175.908715
2026-05-18,BCH/USDT,404.7,404.7,347.8,378.7,44788.418323
2026-05-19,BCH/USDT,378.7,386.6,360.7,370.2,7755.203321
2026-05-20,BCH/USDT,370.3,375.2,364.1,373.2,3751.208918
2026-05-21,BCH/USDT,373.3,383.6,373.0,380.6,4227.396802
2026-05-22,BCH/USDT,380.5,381.9,359.2,360.9,4429.506931
2026-05-23,BCH/USDT,360.8,364.7,343.1,348.5,8755.886713
