datetime,symbol,open,high,low,close,volume
2026-04-24,BNB/USDT,638.6,640.6,632.0,636.1,7777.482755
2026-04-25,BNB/USDT,636.2,638.7,627.3,628.5,4682.39254
2026-04-26,BNB/USDT,628.6,638.1,627.1,635.7,5804.708728
2026-04-27,BNB/USDT,635.7,640.0,618.3,627.0,10343.672389
2026-04-28,BNB/USDT,627.0,627.6,619.0,624.4,7875.744796
2026-04-29,BNB/USDT,624.5,629.5,610.1,617.4,8771.490192
2026-04-30,BNB/USDT,617.4,620.4,613.4,615.5,5232.550837
2026-05-01,BNB/USDT,615.5,622.8,614.0,615.5,5594.851764
2026-05-02,BNB/USDT,615.6,621.8,614.2,618.2,5337.402223
2026-05-03,BNB/USDT,618.2,622.5,615.1,617.5,6603.187139
2026-05-04,BNB/USDT,617.6,639.2,615.8,622.8,16672.464167
2026-05-05,BNB/USDT,622.8,634.9,622.7,630.6,10269.641609
2026-05-06,BNB/USDT,630.5,664.7,629.0,647.9,29716.067233
2026-05-07,BNB/USDT,647.9,653.8,633.7,637.2,14666.115302
2026-05-08,BNB/USDT,637.3,651.7,634.8,649.5,11292.836974
2026-05-09,BNB/USDT,649.6,656.3,646.1,649.9,9503.167771
2026-05-10,BNB/USDT,649.9,666.9,644.9,663.5,10993.085117
2026-05-11,BNB/USDT,663.6,673.1,649.1,670.6,22541.484956
2026-05-12,BNB/USDT,670.6,671.5,650.5,664.9,10861.134563
2026-05-13,BNB/USDT,664.9,685.8,663.9,671.7,17780.363843
2026-05-14,BNB/USDT,671.7,687.7,665.4,678.2,12353.750823
2026-05-15,BNB/USDT,678.2,689.9,669.1,672.5,12946.930614
2026-05-16,BNB/USDT,672.4,674.9,650.7,656.2,13414.479219
2026-05-17,BNB/USDT,656.2,657.6,639.3,649.4,7803.758006
2026-05-18,BNB/USDT,649.6,649.7,634.2,643.4,10086.939083
2026-05-19,BNB/USDT,643.5,647.2,636.2,639.9,6956.194509
2026-05-20,BNB/USDT,639.9,651.7,637.5,649.4,6481.497853
2026-05-21,BNB/USDT,649.5,659.6,646.0,658.6,7487.974484
2026-05-22,BNB/USDT,658.6,664.3,648.4,650.5,11434.502548
2026-05-23,BNB/USDT,650.5,653.1,635.1,647.1,6538.635402
