datetime,symbol,open,high,low,close,volume
2026-04-24,DOT/USDT,1.241,1.272,1.227,1.255,1508853.672928
2026-04-25,DOT/USDT,1.254,1.276,1.238,1.247,765081.223547
2026-04-26,DOT/USDT,1.246,1.274,1.236,1.262,574426.952023
2026-04-27,DOT/USDT,1.262,1.276,1.21,1.234,1054621.14674
2026-04-28,DOT/USDT,1.234,1.242,1.216,1.229,753618.981021
2026-04-29,DOT/USDT,1.23,1.259,1.179,1.212,1315810.776411
2026-04-30,DOT/USDT,1.212,1.226,1.198,1.204,465237.626315
2026-05-01,DOT/USDT,1.205,1.228,1.194,1.204,1124404.383104
2026-05-02,DOT/USDT,1.205,1.24,1.195,1.227,734290.35221
2026-05-03,DOT/USDT,1.228,1.229,1.203,1.21,692160.134355
2026-05-04,DOT/USDT,1.211,1.263,1.199,1.229,1750225.802555
2026-05-05,DOT/USDT,1.229,1.296,1.226,1.279,1596851.524107
2026-05-06,DOT/USDT,1.278,1.335,1.27,1.319,1900503.586855
2026-05-07,DOT/USDT,1.319,1.338,1.29,1.311,1188556.056449
2026-05-08,DOT/USDT,1.311,1.391,1.294,1.374,1740440.215333
2026-05-09,DOT/USDT,1.375,1.393,1.339,1.347,920943.812627
2026-05-10,DOT/USDT,1.347,1.419,1.329,1.382,1344584.085024
2026-05-11,DOT/USDT,1.383,1.385,1.334,1.363,893615.387522
2026-05-12,DOT/USDT,1.362,1.369,1.304,1.335,911174.929898
2026-05-13,DOT/USDT,1.336,1.438,1.316,1.329,2178657.310284
2026-05-14,DOT/USDT,1.329,1.423,1.314,1.364,1252276.017193
2026-05-15,DOT/USDT,1.365,1.376,1.288,1.316,1007137.703408
2026-05-16,DOT/USDT,1.316,1.32,1.247,1.268,846053.812105
2026-05-17,DOT/USDT,1.268,1.293,1.216,1.251,803586.10652
2026-05-18,DOT/USDT,1.25,1.255,1.216,1.252,974124.056841
2026-05-19,DOT/USDT,1.252,1.26,1.219,1.224,600520.273248
2026-05-20,DOT/USDT,1.225,1.257,1.22,1.249,748880.171972
2026-05-21,DOT/USDT,1.249,1.309,1.245,1.292,1332884.200359
2026-05-22,DOT/USDT,1.293,1.346,1.25,1.258,2020995.625381
2026-05-23,DOT/USDT,1.259,1.265,1.2,1.242,851456.640472
