datetime,symbol,open,high,low,close,volume
2026-04-24,HBAR/USDT,0.09087,0.09228,0.09011,0.09094,10316654.540539
2026-04-25,HBAR/USDT,0.09097,0.09218,0.09019,0.09122,8996215.889349
2026-04-26,HBAR/USDT,0.09124,0.09319,0.09054,0.09229,7282717.157524
2026-04-27,HBAR/USDT,0.0923,0.09313,0.08894,0.08974,13294033.762904
2026-04-28,HBAR/USDT,0.08974,0.08974,0.0882,0.0889,8439506.817902
2026-04-29,HBAR/USDT,0.0889,0.09105,0.08696,0.08865,9894002.137751
2026-04-30,HBAR/USDT,0.08868,0.08927,0.0873,0.08735,5051838.768049
2026-05-01,HBAR/USDT,0.08736,0.08862,0.08736,0.08812,5183732.421514
2026-05-02,HBAR/USDT,0.08818,0.08911,0.08758,0.08857,4846672.473119
2026-05-03,HBAR/USDT,0.08858,0.08869,0.08741,0.08769,4172026.698886
2026-05-04,HBAR/USDT,0.08769,0.08958,0.08721,0.0877,12882012.364569
2026-05-05,HBAR/USDT,0.08775,0.09111,0.08773,0.09029,14262351.761986
2026-05-06,HBAR/USDT,0.09027,0.09317,0.09022,0.0914,22699003.421579
2026-05-07,HBAR/USDT,0.0914,0.09169,0.08924,0.0901,12722056.353076
2026-05-08,HBAR/USDT,0.09012,0.09342,0.08946,0.09267,11788750.770599
2026-05-09,HBAR/USDT,0.09269,0.09512,0.09161,0.09287,15806429.315026
2026-05-10,HBAR/USDT,0.09291,0.09962,0.09224,0.09743,26184244.988072
2026-05-11,HBAR/USDT,0.09749,0.0977,0.09493,0.09687,12137052.275179
2026-05-12,HBAR/USDT,0.09689,0.09729,0.09263,0.09383,13159148.922042
2026-05-13,HBAR/USDT,0.09385,0.09562,0.09154,0.09341,10377002.770808
2026-05-14,HBAR/USDT,0.09341,0.09851,0.0925,0.09491,10644830.723292
2026-05-15,HBAR/USDT,0.09502,0.09576,0.09128,0.09288,6749176.030427
2026-05-16,HBAR/USDT,0.09285,0.09307,0.09,0.09126,3754666.179039
2026-05-17,HBAR/USDT,0.09131,0.09207,0.0882,0.09009,4470562.96938
2026-05-18,HBAR/USDT,0.09012,0.09032,0.08813,0.0902,5905579.120373
2026-05-19,HBAR/USDT,0.09022,0.09104,0.08798,0.08859,5091367.830476
2026-05-20,HBAR/USDT,0.08856,0.08968,0.08806,0.08884,4645451.6281
2026-05-21,HBAR/USDT,0.08882,0.09078,0.08783,0.08996,4005812.232275
2026-05-22,HBAR/USDT,0.08998,0.09098,0.08764,0.08791,9845470.200789
2026-05-23,HBAR/USDT,0.08793,0.08877,0.08544,0.08758,3602062.300924
