datetime,symbol,open,high,low,close,volume
2026-04-24,HYPE/USDT,41.306,41.504,40.651,41.163,123269.1282
2026-04-25,HYPE/USDT,41.171,41.884,40.818,41.502,90789.8277
2026-04-26,HYPE/USDT,41.502,42.596,40.96,42.431,126396.7178
2026-04-27,HYPE/USDT,42.432,43.588,41.298,41.663,282804.9378
2026-04-28,HYPE/USDT,41.668,41.84,39.5,40.188,264091.7214
2026-04-29,HYPE/USDT,40.191,40.856,39.205,39.964,244115.0316
2026-04-30,HYPE/USDT,39.965,40.355,38.726,39.717,144851.0875
2026-05-01,HYPE/USDT,39.722,41.193,39.7,41.18,199307.1401
2026-05-02,HYPE/USDT,41.168,42.433,41.028,41.258,156897.4418
2026-05-03,HYPE/USDT,41.259,41.715,40.674,41.54,108347.8757
2026-05-04,HYPE/USDT,41.548,42.599,40.908,41.815,236905.274
2026-05-05,HYPE/USDT,41.815,44.629,41.767,43.733,308731.5663
2026-05-06,HYPE/USDT,43.733,44.797,42.956,43.1,364550.522
2026-05-07,HYPE/USDT,43.101,43.594,41.894,42.535,330990.6186
2026-05-08,HYPE/USDT,42.535,43.49,42.033,43.282,152328.1203
2026-05-09,HYPE/USDT,43.274,44.35,42.858,42.928,212781.119
2026-05-10,HYPE/USDT,42.935,43.697,42.17,43.02,143844.4804
2026-05-11,HYPE/USDT,43.02,43.163,40.861,42.035,223637.7856
2026-05-12,HYPE/USDT,42.021,42.087,39.805,40.273,280557.9664
2026-05-13,HYPE/USDT,40.276,40.727,38.716,38.849,292897.3985
2026-05-14,HYPE/USDT,38.836,44.778,38.16,44.164,590910.7706
2026-05-15,HYPE/USDT,44.164,47.02,42.722,44.212,858929.9254
2026-05-16,HYPE/USDT,44.221,44.537,40.41,41.831,494205.4945
2026-05-17,HYPE/USDT,41.833,47.279,41.367,45.713,603242.5221
2026-05-18,HYPE/USDT,45.718,47.94,44.258,47.778,713646.8006
2026-05-19,HYPE/USDT,47.77,48.953,46.9,48.1,553295.8498
2026-05-20,HYPE/USDT,48.096,54.94,47.166,54.909,817644.6085
2026-05-21,HYPE/USDT,54.908,62.927,54.813,58.58,1575843.882
2026-05-22,HYPE/USDT,58.598,61.978,54.357,54.606,1171127.6182
2026-05-23,HYPE/USDT,54.62,57.751,53.964,57.216,565524.5113
