datetime,symbol,open,high,low,close,volume
2026-04-24,LINK/USDT,9.353,9.447,9.247,9.377,363998.904258
2026-04-25,LINK/USDT,9.377,9.446,9.286,9.345,197015.509233
2026-04-26,LINK/USDT,9.346,9.537,9.299,9.482,274869.546304
2026-04-27,LINK/USDT,9.483,9.591,9.154,9.321,483652.209855
2026-04-28,LINK/USDT,9.322,9.329,9.146,9.242,180283.503456
2026-04-29,LINK/USDT,9.242,9.415,8.91,9.112,564837.550813
2026-04-30,LINK/USDT,9.112,9.188,9.021,9.105,317809.450373
2026-05-01,LINK/USDT,9.106,9.28,9.068,9.097,300385.982239
2026-05-02,LINK/USDT,9.097,9.257,9.069,9.178,310796.715206
2026-05-03,LINK/USDT,9.177,9.228,9.072,9.131,446876.691329
2026-05-04,LINK/USDT,9.13,9.657,9.09,9.36,1076865.650373
2026-05-05,LINK/USDT,9.361,9.848,9.358,9.767,836567.183981
2026-05-06,LINK/USDT,9.767,10.249,9.762,9.999,881681.407597
2026-05-07,LINK/USDT,9.999,10.132,9.8,9.851,624484.579223
2026-05-08,LINK/USDT,9.852,10.497,9.773,10.348,703769.528034
2026-05-09,LINK/USDT,10.348,10.61,10.284,10.378,469910.830853
2026-05-10,LINK/USDT,10.376,10.872,10.28,10.72,533199.787287
2026-05-11,LINK/USDT,10.719,10.759,10.401,10.598,506633.430737
2026-05-12,LINK/USDT,10.598,10.598,10.112,10.287,438743.042814
2026-05-13,LINK/USDT,10.287,10.803,10.041,10.216,770063.866867
2026-05-14,LINK/USDT,10.217,10.77,10.094,10.482,602538.46695
2026-05-15,LINK/USDT,10.483,10.557,9.968,10.073,448847.176276
2026-05-16,LINK/USDT,10.074,10.103,9.62,9.717,385140.801251
2026-05-17,LINK/USDT,9.717,9.853,9.325,9.568,570274.712553
2026-05-18,LINK/USDT,9.566,9.619,9.312,9.606,730000.180103
2026-05-19,LINK/USDT,9.607,9.824,9.437,9.448,676866.90698
2026-05-20,LINK/USDT,9.448,9.694,9.381,9.633,611749.372295
2026-05-21,LINK/USDT,9.634,9.854,9.518,9.755,636444.097192
2026-05-22,LINK/USDT,9.756,10.036,9.366,9.42,584474.362308
2026-05-23,LINK/USDT,9.421,9.44,9.057,9.307,343978.303107
