datetime,symbol,open,high,low,close,volume
2026-04-24,LTC/USDT,56.22,56.78,55.74,56.53,68160.997447
2026-04-25,LTC/USDT,56.54,56.72,55.91,56.05,42708.606862
2026-04-26,LTC/USDT,56.04,56.46,55.76,56.27,29717.528262
2026-04-27,LTC/USDT,56.28,56.79,54.95,55.56,76175.11269
2026-04-28,LTC/USDT,55.57,55.76,54.69,55.69,47213.141545
2026-04-29,LTC/USDT,55.71,57.71,54.33,55.32,143332.034298
2026-04-30,LTC/USDT,55.33,55.98,54.94,55.2,65863.354858
2026-05-01,LTC/USDT,55.18,56.01,54.89,55.4,72229.208704
2026-05-02,LTC/USDT,55.4,55.71,55.04,55.38,38026.541649
2026-05-03,LTC/USDT,55.4,55.75,54.86,55.3,42246.635039
2026-05-04,LTC/USDT,55.3,56.42,54.92,54.98,101136.98098
2026-05-05,LTC/USDT,54.97,56.63,54.8,56.33,91493.579657
2026-05-06,LTC/USDT,56.34,57.94,56.07,56.76,154074.646163
2026-05-07,LTC/USDT,56.76,57.39,56.07,56.44,110517.357444
2026-05-08,LTC/USDT,56.45,58.98,56.07,58.33,102066.435815
2026-05-09,LTC/USDT,58.31,59.14,57.63,57.98,63287.283226
2026-05-10,LTC/USDT,57.99,60.58,57.67,60.41,102783.792198
2026-05-11,LTC/USDT,60.41,60.57,58.08,58.51,102895.091427
2026-05-12,LTC/USDT,58.52,58.66,57.06,58.12,74692.177782
2026-05-13,LTC/USDT,58.11,58.97,56.29,56.99,92976.327094
2026-05-14,LTC/USDT,57.0,59.54,56.63,58.21,89425.800713
2026-05-15,LTC/USDT,58.22,58.51,56.39,57.51,94622.257006
2026-05-16,LTC/USDT,57.51,57.71,55.59,56.14,101493.103441
2026-05-17,LTC/USDT,56.14,56.51,53.75,54.58,66312.579602
2026-05-18,LTC/USDT,54.58,54.58,53.18,54.37,76355.171802
2026-05-19,LTC/USDT,54.38,54.6,53.5,54.51,38853.716419
2026-05-20,LTC/USDT,54.5,54.55,53.3,53.96,85572.208154
2026-05-21,LTC/USDT,53.96,54.67,53.33,54.17,73271.475247
2026-05-22,LTC/USDT,54.19,54.59,52.28,52.66,73688.375055
2026-05-23,LTC/USDT,52.66,53.14,51.47,52.81,60909.453531
