datetime,symbol,open,high,low,close,volume
2026-04-24,NEAR/USDT,1.406,1.434,1.396,1.407,916215.46607842
2026-04-25,NEAR/USDT,1.407,1.421,1.389,1.403,678718.07745244
2026-04-26,NEAR/USDT,1.402,1.413,1.379,1.394,891616.9141001
2026-04-27,NEAR/USDT,1.395,1.413,1.34,1.364,1317364.52143386
2026-04-28,NEAR/USDT,1.364,1.366,1.329,1.348,862697.34288556
2026-04-29,NEAR/USDT,1.347,1.373,1.291,1.328,1007776.24478357
2026-04-30,NEAR/USDT,1.328,1.342,1.291,1.297,815457.28890306
2026-05-01,NEAR/USDT,1.298,1.319,1.278,1.288,918946.9833102
2026-05-02,NEAR/USDT,1.289,1.303,1.278,1.3,751979.15955979
2026-05-03,NEAR/USDT,1.301,1.303,1.267,1.275,1397390.70768175
2026-05-04,NEAR/USDT,1.276,1.312,1.245,1.262,2734781.45489625
2026-05-05,NEAR/USDT,1.263,1.318,1.258,1.297,1542048.06527601
2026-05-06,NEAR/USDT,1.296,1.547,1.289,1.489,4812416.44936905
2026-05-07,NEAR/USDT,1.488,1.528,1.452,1.471,2897336.89359068
2026-05-08,NEAR/USDT,1.471,1.606,1.456,1.598,4255214.89366295
2026-05-09,NEAR/USDT,1.598,1.618,1.551,1.569,1208337.79969399
2026-05-10,NEAR/USDT,1.568,1.632,1.537,1.565,1652618.41695654
2026-05-11,NEAR/USDT,1.564,1.576,1.512,1.548,1873065.24511011
2026-05-12,NEAR/USDT,1.548,1.649,1.505,1.609,3804989.65561847
2026-05-13,NEAR/USDT,1.609,1.691,1.551,1.575,2974025.05626919
2026-05-14,NEAR/USDT,1.575,1.635,1.537,1.573,1678725.73544095
2026-05-15,NEAR/USDT,1.573,1.593,1.51,1.545,1593209.5984318
2026-05-16,NEAR/USDT,1.545,1.555,1.48,1.497,916811.72089663
2026-05-17,NEAR/USDT,1.498,1.559,1.467,1.509,987417.4961752
2026-05-18,NEAR/USDT,1.508,1.629,1.479,1.628,2237881.75591504
2026-05-19,NEAR/USDT,1.628,1.688,1.582,1.602,2650996.47139024
2026-05-20,NEAR/USDT,1.604,1.729,1.581,1.703,3389612.22699176
2026-05-21,NEAR/USDT,1.703,1.964,1.695,1.927,5153342.33856441
2026-05-22,NEAR/USDT,1.927,2.336,1.918,2.102,10932488.07430145
2026-05-23,NEAR/USDT,2.102,2.274,2.012,2.263,3381914.53909325
