datetime,symbol,open,high,low,close,volume
2026-04-24,ONDO/USDT,0.2623,0.2674,0.2598,0.2619,5506882.833
2026-04-25,ONDO/USDT,0.262,0.2642,0.2579,0.2609,3842073.025
2026-04-26,ONDO/USDT,0.261,0.2738,0.2583,0.2671,9585293.584
2026-04-27,ONDO/USDT,0.2671,0.2735,0.2574,0.2664,8547160.101
2026-04-28,ONDO/USDT,0.2665,0.2674,0.259,0.2644,5526889.613
2026-04-29,ONDO/USDT,0.2643,0.2704,0.2543,0.2634,10321144.224
2026-04-30,ONDO/USDT,0.2636,0.2681,0.2589,0.2627,6780799.739
2026-05-01,ONDO/USDT,0.2627,0.2738,0.2624,0.268,7791945.64
2026-05-02,ONDO/USDT,0.2681,0.2903,0.2674,0.2835,9774608.978
2026-05-03,ONDO/USDT,0.2836,0.2958,0.2752,0.2872,7342946.839
2026-05-04,ONDO/USDT,0.2874,0.3261,0.2845,0.3143,29925878.29
2026-05-05,ONDO/USDT,0.3142,0.3292,0.3062,0.3212,14408656.73
2026-05-06,ONDO/USDT,0.321,0.3391,0.3092,0.3234,16000463.618
2026-05-07,ONDO/USDT,0.3236,0.3785,0.3166,0.3525,27655213.508
2026-05-08,ONDO/USDT,0.3526,0.4652,0.344,0.4517,63052666.945
2026-05-09,ONDO/USDT,0.4517,0.4869,0.4128,0.4184,31104347.969
2026-05-10,ONDO/USDT,0.4182,0.431,0.4017,0.4238,18376350.276
2026-05-11,ONDO/USDT,0.4239,0.4616,0.4154,0.4288,31585601.386
2026-05-12,ONDO/USDT,0.4287,0.4475,0.3877,0.3886,20614390.285
2026-05-13,ONDO/USDT,0.3887,0.4097,0.3788,0.3856,13019423.429
2026-05-14,ONDO/USDT,0.3856,0.416,0.3737,0.3885,17188776.093
2026-05-15,ONDO/USDT,0.3886,0.395,0.3594,0.3635,13068498.937
2026-05-16,ONDO/USDT,0.3634,0.365,0.3405,0.3444,6768966.838
2026-05-17,ONDO/USDT,0.3443,0.3636,0.334,0.346,8531268.096
2026-05-18,ONDO/USDT,0.346,0.3879,0.3332,0.3867,24955352.437
2026-05-19,ONDO/USDT,0.3866,0.3998,0.3592,0.3693,29123492.013
2026-05-20,ONDO/USDT,0.3693,0.4089,0.3632,0.4019,21778022.785
2026-05-21,ONDO/USDT,0.4022,0.4282,0.396,0.4143,20793871.482
2026-05-22,ONDO/USDT,0.4144,0.4755,0.3792,0.3839,36894358.981
2026-05-23,ONDO/USDT,0.384,0.4222,0.3742,0.4171,20623620.126
