datetime,symbol,open,high,low,close,volume
2026-04-24,PAXG/USDT,4685.7,4727.2,4651.4,4697.6,404.165718
2026-04-25,PAXG/USDT,4697.2,4703.0,4691.8,4691.8,24.646227
2026-04-26,PAXG/USDT,4690.7,4709.3,4668.8,4672.6,150.575834
2026-04-27,PAXG/USDT,4673.7,4717.5,4659.0,4683.8,294.473848
2026-04-28,PAXG/USDT,4683.8,4689.9,4552.9,4590.2,1397.511102
2026-04-29,PAXG/USDT,4590.3,4604.4,4509.5,4556.2,730.46152
2026-04-30,PAXG/USDT,4556.7,4637.3,4537.0,4622.8,494.317819
2026-05-01,PAXG/USDT,4618.8,4651.1,4557.0,4603.3,1436.15817
2026-05-02,PAXG/USDT,4604.2,4605.2,4595.9,4597.6,27.991267
2026-05-03,PAXG/USDT,4597.7,4638.0,4595.7,4605.4,249.126643
2026-05-04,PAXG/USDT,4605.1,4610.2,4500.0,4516.0,356.402167
2026-05-05,PAXG/USDT,4517.2,4586.0,4515.0,4584.3,386.697862
2026-05-06,PAXG/USDT,4584.3,4712.9,4580.6,4687.3,1898.94858
2026-05-07,PAXG/USDT,4687.3,4756.6,4672.0,4696.5,640.971189
2026-05-08,PAXG/USDT,4697.3,4741.2,4689.0,4706.6,263.750012
2026-05-09,PAXG/USDT,4706.6,4715.1,4702.8,4712.6,145.310756
2026-05-10,PAXG/USDT,4712.6,4723.5,4674.0,4685.9,678.144596
2026-05-11,PAXG/USDT,4686.8,4758.8,4646.4,4757.7,430.877628
2026-05-12,PAXG/USDT,4756.8,4763.0,4639.0,4711.8,348.614743
2026-05-13,PAXG/USDT,4711.5,4720.8,4667.5,4688.3,371.570563
2026-05-14,PAXG/USDT,4689.4,4710.2,4643.6,4648.5,244.888354
2026-05-15,PAXG/USDT,4649.4,4652.1,4517.1,4543.4,791.04903
2026-05-16,PAXG/USDT,4543.7,4549.8,4516.1,4537.2,210.680634
2026-05-17,PAXG/USDT,4536.7,4554.2,4527.5,4535.9,217.408174
2026-05-18,PAXG/USDT,4537.4,4584.0,4478.4,4577.3,680.936652
2026-05-19,PAXG/USDT,4577.4,4583.6,4470.1,4492.5,270.540848
2026-05-20,PAXG/USDT,4492.3,4550.5,4459.6,4540.4,337.198881
2026-05-21,PAXG/USDT,4542.2,4564.6,4490.0,4529.5,1220.691857
2026-05-22,PAXG/USDT,4531.2,4535.0,4488.6,4499.8,224.216322
2026-05-23,PAXG/USDT,4499.2,4511.2,4491.8,4508.0,98.485886
