datetime,symbol,open,high,low,close,volume
2026-04-24,PYUSD/USDT,0.9996,0.9996,0.9992,0.9996,30046.6608
2026-04-25,PYUSD/USDT,0.9996,0.9996,0.9994,0.9995,5542.9735
2026-04-26,PYUSD/USDT,0.9996,0.9996,0.9994,0.9995,41301.8766
2026-04-27,PYUSD/USDT,0.9996,1.0005,0.9992,0.9997,209625.6858
2026-04-28,PYUSD/USDT,0.9998,1.0003,0.9996,1.0,61679.4785
2026-04-29,PYUSD/USDT,0.9999,1.0004,0.9997,1.0,42668.1845
2026-04-30,PYUSD/USDT,1.0,1.0009,0.9999,1.0001,95348.292
2026-05-01,PYUSD/USDT,1.0001,1.001,0.9998,0.9999,128429.0031
2026-05-02,PYUSD/USDT,0.9999,1.0,0.9998,0.9999,17032.147
2026-05-03,PYUSD/USDT,1.0,1.0002,0.9999,0.9999,16152.8763
2026-05-04,PYUSD/USDT,0.9999,1.0001,0.9998,1.0001,19204.4467
2026-05-05,PYUSD/USDT,1.0001,1.0002,0.9997,0.9999,49037.6475
2026-05-06,PYUSD/USDT,0.9999,1.0005,0.9998,1.0001,118727.0713
2026-05-07,PYUSD/USDT,0.9999,1.0001,0.9997,0.9999,51576.5669
2026-05-08,PYUSD/USDT,0.9999,1.0003,0.9997,1.0001,73217.1256
2026-05-09,PYUSD/USDT,1.0,1.0001,0.9996,0.9998,33907.8721
2026-05-10,PYUSD/USDT,0.9998,1.0001,0.9997,0.9998,134101.2074
2026-05-11,PYUSD/USDT,0.9999,1.0002,0.9998,1.0002,35898.2784
2026-05-12,PYUSD/USDT,1.0002,1.0004,0.9998,1.0,41408.5298
2026-05-13,PYUSD/USDT,1.0,1.0008,0.9999,1.0001,97497.3119
2026-05-14,PYUSD/USDT,1.0003,1.0005,0.9999,1.0001,4662912.2338
2026-05-15,PYUSD/USDT,1.0001,1.0004,0.9997,1.0004,6906709.1012
2026-05-16,PYUSD/USDT,1.0004,1.0005,1.0,1.0004,6112167.5873
2026-05-17,PYUSD/USDT,1.0004,1.0005,1.0,1.0003,2984285.6053
2026-05-18,PYUSD/USDT,1.0003,1.0007,1.0,1.0007,4487341.6475
2026-05-19,PYUSD/USDT,1.0007,1.0007,1.0003,1.0004,2284742.6409
2026-05-20,PYUSD/USDT,1.0004,1.0011,1.0004,1.0005,42667.3481
2026-05-21,PYUSD/USDT,1.0006,1.0007,1.0005,1.0006,71797.2966
2026-05-22,PYUSD/USDT,1.0007,1.0009,1.0006,1.0007,48951.8153
2026-05-23,PYUSD/USDT,1.0007,1.001,1.0007,1.0009,13344.7742
