datetime,symbol,open,high,low,close,volume
2026-04-29,RLUSD/USDT,1.0002,1.0005,1.0002,1.0004,4603545.124
2026-04-30,RLUSD/USDT,1.0003,1.0005,1.0003,1.0003,4945280.032
2026-05-01,RLUSD/USDT,1.0003,1.0005,1.0001,1.0002,5181703.363
2026-05-02,RLUSD/USDT,1.0001,1.0003,1.0,1.0,1220812.666
2026-05-03,RLUSD/USDT,1.0,1.0003,1.0,1.0001,204986.774
2026-05-04,RLUSD/USDT,1.0002,1.0003,1.0,1.0,3579807.393
2026-05-05,RLUSD/USDT,1.0001,1.0002,0.9999,1.0001,3579508.196
2026-05-06,RLUSD/USDT,1.0002,1.0003,1.0,1.0002,10454940.315
2026-05-07,RLUSD/USDT,1.0002,1.0002,0.9999,1.0002,4443092.675
2026-05-08,RLUSD/USDT,1.0001,1.0003,1.0,1.0,8293321.151
2026-05-09,RLUSD/USDT,1.0001,1.0002,0.9999,1.0,1692566.712
2026-05-10,RLUSD/USDT,1.0002,1.0002,1.0,1.0001,672984.474
2026-05-11,RLUSD/USDT,1.0,1.0005,1.0,1.0003,9672769.145
2026-05-12,RLUSD/USDT,1.0001,1.0006,0.9999,1.0003,5348686.95
2026-05-13,RLUSD/USDT,1.0001,1.0005,1.0,1.0003,12066838.241
2026-05-14,RLUSD/USDT,1.0004,1.0005,0.9999,1.0,6207804.91
2026-05-15,RLUSD/USDT,1.0,1.0006,0.9998,1.0005,12305252.931
2026-05-16,RLUSD/USDT,1.0005,1.0006,1.0002,1.0005,3710227.838
2026-05-17,RLUSD/USDT,1.0005,1.0005,1.0002,1.0004,1842778.431
2026-05-18,RLUSD/USDT,1.0004,1.0008,1.0003,1.0006,20947631.616
2026-05-19,RLUSD/USDT,1.0006,1.0015,1.0005,1.0008,23384698.665
2026-05-20,RLUSD/USDT,1.0008,1.0011,1.0007,1.0009,18672237.232
2026-05-21,RLUSD/USDT,1.0009,1.0011,1.0008,1.0008,15135361.13
2026-05-22,RLUSD/USDT,1.0008,1.0013,1.0008,1.0011,26427362.155
2026-05-23,RLUSD/USDT,1.0011,1.0013,1.0009,1.0011,6272853.904
