datetime,symbol,open,high,low,close,volume
2026-04-24,SHIB/USDT,6.154e-06,6.288e-06,6.101e-06,6.202e-06,163845561911.0
2026-04-25,SHIB/USDT,6.201e-06,6.251e-06,6.125e-06,6.171e-06,79315674118.0
2026-04-26,SHIB/USDT,6.173e-06,6.249e-06,6.146e-06,6.212e-06,140965102202.0
2026-04-27,SHIB/USDT,6.21e-06,6.327e-06,6.037e-06,6.144e-06,189511691540.0
2026-04-28,SHIB/USDT,6.146e-06,6.197e-06,6.059e-06,6.136e-06,207054570159.0
2026-04-29,SHIB/USDT,6.134e-06,6.564e-06,5.994e-06,6.16e-06,567963081780.0
2026-04-30,SHIB/USDT,6.162e-06,6.382e-06,6.149e-06,6.221e-06,212775591473.0
2026-05-01,SHIB/USDT,6.221e-06,6.403e-06,6.221e-06,6.271e-06,240362267823.0
2026-05-02,SHIB/USDT,6.271e-06,6.325e-06,6.225e-06,6.276e-06,109965624346.0
2026-05-03,SHIB/USDT,6.276e-06,6.278e-06,6.154e-06,6.166e-06,153200312554.0
2026-05-04,SHIB/USDT,6.165e-06,6.352e-06,6.127e-06,6.192e-06,316358113932.0
2026-05-05,SHIB/USDT,6.193e-06,6.436e-06,6.181e-06,6.348e-06,487479998951.0
2026-05-06,SHIB/USDT,6.346e-06,6.528e-06,6.311e-06,6.412e-06,389378397880.0
2026-05-07,SHIB/USDT,6.412e-06,6.414e-06,6.23e-06,6.276e-06,298078088478.0
2026-05-08,SHIB/USDT,6.277e-06,6.49e-06,6.225e-06,6.455e-06,242319067308.0
2026-05-09,SHIB/USDT,6.455e-06,6.515e-06,6.34e-06,6.37e-06,172282891933.0
2026-05-10,SHIB/USDT,6.368e-06,6.686e-06,6.309e-06,6.606e-06,425912750630.0
2026-05-11,SHIB/USDT,6.608e-06,6.695e-06,6.452e-06,6.596e-06,287321388221.0
2026-05-12,SHIB/USDT,6.593e-06,6.637e-06,6.325e-06,6.42e-06,319324286500.0
2026-05-13,SHIB/USDT,6.421e-06,6.561e-06,6.214e-06,6.277e-06,288921877608.0
2026-05-14,SHIB/USDT,6.277e-06,6.485e-06,6.214e-06,6.361e-06,195632996073.0
2026-05-15,SHIB/USDT,6.369e-06,6.391e-06,6.031e-06,6.128e-06,243800855051.0
2026-05-16,SHIB/USDT,6.128e-06,6.144e-06,5.855e-06,5.866e-06,232648047660.0
2026-05-17,SHIB/USDT,5.867e-06,5.88e-06,5.57e-06,5.735e-06,341819045773.0
2026-05-18,SHIB/USDT,5.738e-06,5.772e-06,5.628e-06,5.754e-06,356401312876.0
2026-05-19,SHIB/USDT,5.756e-06,5.804e-06,5.663e-06,5.691e-06,116748348752.0
2026-05-20,SHIB/USDT,5.689e-06,5.835e-06,5.671e-06,5.783e-06,133703613247.0
2026-05-21,SHIB/USDT,5.783e-06,5.875e-06,5.736e-06,5.85e-06,190475356884.0
2026-05-22,SHIB/USDT,5.854e-06,5.894e-06,5.623e-06,5.658e-06,210482790086.0
2026-05-23,SHIB/USDT,5.658e-06,5.697e-06,5.476e-06,5.595e-06,160737359481.0
