datetime,symbol,open,high,low,close,volume
2026-04-24,SOL/USDT,86.14,86.94,84.95,86.18,523075.445164
2026-04-25,SOL/USDT,86.17,86.81,85.53,86.16,300856.061885
2026-04-26,SOL/USDT,86.17,87.33,85.84,86.93,420354.791427
2026-04-27,SOL/USDT,86.93,88.1,83.63,84.82,757127.271607
2026-04-28,SOL/USDT,84.83,84.94,82.99,84.07,506809.723255
2026-04-29,SOL/USDT,84.07,85.58,81.41,83.05,812548.890605
2026-04-30,SOL/USDT,83.06,84.02,82.17,83.09,447084.526813
2026-05-01,SOL/USDT,83.09,84.86,83.08,83.75,520225.699754
2026-05-02,SOL/USDT,83.76,84.98,83.43,84.28,415363.406892
2026-05-03,SOL/USDT,84.28,84.96,83.58,83.92,319697.782181
2026-05-04,SOL/USDT,83.92,85.9,83.26,84.09,979726.1084
2026-05-05,SOL/USDT,84.1,86.98,84.03,86.31,790943.960668
2026-05-06,SOL/USDT,86.29,90.08,86.1,89.16,1084929.732507
2026-05-07,SOL/USDT,89.16,90.42,87.64,88.43,1186411.705002
2026-05-08,SOL/USDT,88.44,92.8,87.59,92.02,1085832.021259
2026-05-09,SOL/USDT,92.02,94.17,91.85,93.13,630318.107895
2026-05-10,SOL/USDT,93.13,96.89,92.61,96.45,843884.447485
2026-05-11,SOL/USDT,96.46,98.38,94.31,97.36,849437.151654
2026-05-12,SOL/USDT,97.37,97.66,93.61,94.29,602546.612122
2026-05-13,SOL/USDT,94.29,95.99,90.29,91.17,870518.217813
2026-05-14,SOL/USDT,91.16,93.67,89.81,92.17,686224.982817
2026-05-15,SOL/USDT,92.17,92.66,88.55,89.25,735437.355272
2026-05-16,SOL/USDT,89.25,89.44,85.52,86.55,525759.201611
2026-05-17,SOL/USDT,86.55,87.28,83.38,85.23,543133.11043
2026-05-18,SOL/USDT,85.23,85.79,83.5,85.39,684582.666731
2026-05-19,SOL/USDT,85.39,85.97,83.7,84.3,380393.045983
2026-05-20,SOL/USDT,84.29,87.09,83.85,86.16,520514.739145
2026-05-21,SOL/USDT,86.17,88.02,85.34,87.35,712844.785634
2026-05-22,SOL/USDT,87.36,87.86,84.0,84.4,583226.704065
2026-05-23,SOL/USDT,84.41,84.75,81.38,83.95,589581.162306
