datetime,symbol,open,high,low,close,volume
2026-04-24,SUI/USDT,0.9464,0.956,0.9369,0.9459,5674784.1266
2026-04-25,SUI/USDT,0.9459,0.9545,0.9315,0.9387,4772707.0455
2026-04-26,SUI/USDT,0.939,0.951,0.9323,0.9456,5666929.0632
2026-04-27,SUI/USDT,0.9455,0.9643,0.9136,0.9356,10584440.6701
2026-04-28,SUI/USDT,0.9357,0.9361,0.9131,0.9258,5286695.082
2026-04-29,SUI/USDT,0.9256,0.9379,0.8815,0.907,9414596.3472
2026-04-30,SUI/USDT,0.9071,0.9185,0.8987,0.9082,4850808.2581
2026-05-01,SUI/USDT,0.9083,0.9281,0.9071,0.9191,6544079.773
2026-05-02,SUI/USDT,0.9192,0.9339,0.9146,0.9275,5812839.3156
2026-05-03,SUI/USDT,0.9278,0.931,0.912,0.9203,4868420.3098
2026-05-04,SUI/USDT,0.9203,0.9589,0.9128,0.9289,11351216.1749
2026-05-05,SUI/USDT,0.9291,0.9824,0.9281,0.9665,8133144.1635
2026-05-06,SUI/USDT,0.9664,1.0342,0.9625,0.9927,18140703.326
2026-05-07,SUI/USDT,0.9929,1.014,0.9573,0.9684,14096560.0967
2026-05-08,SUI/USDT,0.9685,1.0366,0.9575,1.0219,12781590.211
2026-05-09,SUI/USDT,1.0217,1.106,1.0192,1.0704,18776353.3409
2026-05-10,SUI/USDT,1.0704,1.4138,1.0647,1.3326,73750647.6264
2026-05-11,SUI/USDT,1.3324,1.3528,1.2467,1.2908,40737884.8089
2026-05-12,SUI/USDT,1.2906,1.3138,1.2141,1.2383,21262719.3431
2026-05-13,SUI/USDT,1.2383,1.2659,1.1779,1.208,19258985.1292
2026-05-14,SUI/USDT,1.208,1.2306,1.1858,1.1881,15368317.4361
2026-05-15,SUI/USDT,1.1882,1.1991,1.0814,1.0995,20253483.4067
2026-05-16,SUI/USDT,1.0996,1.1076,1.0366,1.061,14100284.0963
2026-05-17,SUI/USDT,1.0611,1.0899,1.0105,1.0441,13694788.1444
2026-05-18,SUI/USDT,1.0441,1.0662,1.0231,1.0644,11603995.022
2026-05-19,SUI/USDT,1.0647,1.1019,1.047,1.0519,9036994.0823
2026-05-20,SUI/USDT,1.0521,1.0835,1.029,1.0799,10302191.5304
2026-05-21,SUI/USDT,1.08,1.1647,1.0778,1.124,23176157.7558
2026-05-22,SUI/USDT,1.1249,1.1328,1.0412,1.0483,18889798.2049
2026-05-23,SUI/USDT,1.0484,1.0511,0.9821,1.0383,13724252.5636
