datetime,symbol,open,high,low,close,volume
2026-04-24,TON/USDT,1.333,1.355,1.296,1.338,2362110.5609
2026-04-25,TON/USDT,1.338,1.359,1.31,1.318,1476295.6938
2026-04-26,TON/USDT,1.318,1.327,1.299,1.317,1871183.7345
2026-04-27,TON/USDT,1.316,1.325,1.289,1.308,2314690.8771
2026-04-28,TON/USDT,1.308,1.316,1.286,1.303,2676217.2589
2026-04-29,TON/USDT,1.303,1.364,1.294,1.322,5706904.0839
2026-04-30,TON/USDT,1.321,1.337,1.302,1.335,1773367.0968
2026-05-01,TON/USDT,1.336,1.358,1.317,1.321,2310530.744
2026-05-02,TON/USDT,1.321,1.35,1.308,1.344,1196272.1557
2026-05-03,TON/USDT,1.344,1.358,1.333,1.353,1072594.0631
2026-05-04,TON/USDT,1.354,1.658,1.352,1.651,9900140.4674
2026-05-05,TON/USDT,1.653,2.029,1.601,1.954,26471731.9735
2026-05-06,TON/USDT,1.955,2.579,1.919,2.452,30858981.7735
2026-05-07,TON/USDT,2.452,2.91,2.329,2.715,34413679.5439
2026-05-08,TON/USDT,2.715,2.801,2.461,2.518,16080944.1941
2026-05-09,TON/USDT,2.519,2.651,2.382,2.438,10664142.5102
2026-05-10,TON/USDT,2.435,2.605,2.327,2.483,11062620.6955
2026-05-11,TON/USDT,2.483,2.496,2.266,2.428,11106334.7966
2026-05-12,TON/USDT,2.429,2.509,2.263,2.29,8057414.3493
2026-05-13,TON/USDT,2.29,2.326,2.087,2.102,6896254.2533
2026-05-14,TON/USDT,2.103,2.177,2.046,2.129,6723220.708
2026-05-15,TON/USDT,2.129,2.135,1.946,1.955,3567750.55
2026-05-16,TON/USDT,1.954,1.984,1.862,1.908,3339352.5584
2026-05-17,TON/USDT,1.909,1.995,1.863,1.918,3705058.5602
2026-05-18,TON/USDT,1.916,2.064,1.896,1.999,6831996.3118
2026-05-19,TON/USDT,2.0,2.079,1.955,1.982,5307239.667
2026-05-20,TON/USDT,1.982,2.091,1.925,2.048,6276537.3782
2026-05-21,TON/USDT,2.046,2.094,1.988,2.07,4733769.5389
2026-05-22,TON/USDT,2.071,2.071,1.809,1.837,3877214.9318
2026-05-23,TON/USDT,1.836,1.871,1.73,1.775,2619385.9622
