datetime,symbol,open,high,low,close,volume
2026-04-24,UNI/USDT,3.293,3.311,3.22,3.252,589791.375333
2026-04-25,UNI/USDT,3.252,3.282,3.225,3.258,384351.026053
2026-04-26,UNI/USDT,3.259,3.309,3.23,3.281,421319.916656
2026-04-27,UNI/USDT,3.283,3.36,3.176,3.251,825608.800968
2026-04-28,UNI/USDT,3.252,3.279,3.191,3.241,335703.68097
2026-04-29,UNI/USDT,3.243,3.329,3.102,3.191,883354.546388
2026-04-30,UNI/USDT,3.192,3.227,3.145,3.186,410554.234436
2026-05-01,UNI/USDT,3.187,3.277,3.187,3.204,443104.180594
2026-05-02,UNI/USDT,3.205,3.281,3.193,3.255,263286.345847
2026-05-03,UNI/USDT,3.256,3.277,3.208,3.234,301796.015885
2026-05-04,UNI/USDT,3.235,3.452,3.21,3.273,1603883.469226
2026-05-05,UNI/USDT,3.274,3.401,3.271,3.358,526481.525676
2026-05-06,UNI/USDT,3.357,3.553,3.34,3.474,1260635.407212
2026-05-07,UNI/USDT,3.475,3.51,3.38,3.435,1095042.785434
2026-05-08,UNI/USDT,3.435,3.733,3.386,3.711,2035914.414246
2026-05-09,UNI/USDT,3.712,3.824,3.618,3.809,1539131.413291
2026-05-10,UNI/USDT,3.81,4.17,3.68,3.993,4097381.272762
2026-05-11,UNI/USDT,3.994,4.01,3.816,3.898,1341374.833878
2026-05-12,UNI/USDT,3.896,3.906,3.686,3.764,695606.687072
2026-05-13,UNI/USDT,3.765,3.847,3.58,3.623,1160409.590284
2026-05-14,UNI/USDT,3.623,3.815,3.564,3.733,866389.191737
2026-05-15,UNI/USDT,3.733,3.757,3.523,3.601,963384.172119
2026-05-16,UNI/USDT,3.602,3.62,3.461,3.488,1253106.462894
2026-05-17,UNI/USDT,3.487,3.611,3.379,3.473,570951.906426
2026-05-18,UNI/USDT,3.472,3.552,3.357,3.546,875251.06887
2026-05-19,UNI/USDT,3.546,3.588,3.436,3.451,527064.477576
2026-05-20,UNI/USDT,3.451,3.666,3.424,3.615,1132986.116237
2026-05-21,UNI/USDT,3.615,3.695,3.526,3.608,1151912.401434
2026-05-22,UNI/USDT,3.61,3.684,3.38,3.405,1272362.73972
2026-05-23,UNI/USDT,3.406,3.409,3.263,3.401,1134397.475622
