datetime,symbol,open,high,low,close,volume
2026-04-24,USD1/USDT,0.9998,0.9998,0.9994,0.9997,3336.157
2026-04-25,USD1/USDT,0.9997,0.9997,0.9996,0.9996,23185.672
2026-04-26,USD1/USDT,0.9996,0.9999,0.9996,0.9997,11178.1286
2026-04-27,USD1/USDT,0.9997,0.9998,0.9996,0.9998,23905.4039
2026-04-28,USD1/USDT,0.9998,1.0,0.9997,0.9999,208740.1772
2026-04-29,USD1/USDT,1.0,1.0001,0.9998,1.0001,20380.1593
2026-04-30,USD1/USDT,1.0,1.0001,0.9999,1.0,6803.7223
2026-05-01,USD1/USDT,1.0,1.0002,1.0,1.0,11391.7356
2026-05-02,USD1/USDT,1.0001,1.0001,0.9999,0.9999,5107.3469
2026-05-03,USD1/USDT,1.0,1.0001,1.0,1.0001,13550.4212
2026-05-04,USD1/USDT,1.0001,1.0002,0.9999,0.9999,2390.9796
2026-05-05,USD1/USDT,1.0,1.0001,0.9998,0.9999,7505.3578
2026-05-06,USD1/USDT,0.9998,1.0022,0.9997,0.9997,62979.0172
2026-05-07,USD1/USDT,0.9997,0.9998,0.9997,0.9997,7525.0481
2026-05-08,USD1/USDT,0.9998,0.9998,0.9995,0.9996,10244.5499
2026-05-09,USD1/USDT,0.9995,0.9997,0.9995,0.9997,10665.4952
2026-05-10,USD1/USDT,0.9996,0.9997,0.9991,0.9994,17891.1798
2026-05-11,USD1/USDT,0.9994,0.9994,0.9992,0.9992,9974.975
2026-05-12,USD1/USDT,0.9992,0.9993,0.9991,0.9992,27317.5704
2026-05-13,USD1/USDT,0.9993,0.9999,0.9993,0.9996,15319.8408
2026-05-14,USD1/USDT,0.9997,1.0,0.9996,0.9999,21444.57
2026-05-15,USD1/USDT,1.0,1.0003,0.9998,1.0001,29452.4365
2026-05-16,USD1/USDT,1.0002,1.0005,1.0002,1.0004,42147.1698
2026-05-17,USD1/USDT,1.0003,1.0005,1.0003,1.0005,18643.8167
2026-05-18,USD1/USDT,1.0004,1.0007,1.0002,1.0002,65968.7106
2026-05-19,USD1/USDT,1.0002,1.0006,0.9999,1.0006,226625.7952
2026-05-20,USD1/USDT,1.0006,1.001,1.0005,1.0008,593898.3577
2026-05-21,USD1/USDT,1.0009,1.0011,1.0007,1.0008,846294.0513
2026-05-22,USD1/USDT,1.0009,1.001,1.0004,1.0006,86881.0023
2026-05-23,USD1/USDT,1.0006,1.0006,1.0002,1.0003,46141.0618
