datetime,symbol,open,high,low,close,volume
2026-04-24,USDC/USDT,0.9996,0.9997,0.9995,0.9996,92025496.69245
2026-04-25,USDC/USDT,0.9995,0.9997,0.9995,0.9996,11392659.098149
2026-04-26,USDC/USDT,0.9997,0.9998,0.9996,0.9997,17165337.489772
2026-04-27,USDC/USDT,0.9997,1.0,0.9996,1.0,44024994.603625
2026-04-28,USDC/USDT,1.0,1.0,0.9998,1.0,56063946.280287
2026-04-29,USDC/USDT,0.9999,1.0003,0.9999,1.0001,48429610.300623
2026-04-30,USDC/USDT,1.0002,1.0003,1.0001,1.0002,43062919.92039
2026-05-01,USDC/USDT,1.0002,1.0002,0.9998,1.0001,77276770.113146
2026-05-02,USDC/USDT,1.0001,1.0001,0.9999,0.9999,16384195.858291
2026-05-03,USDC/USDT,0.9999,1.0001,0.9999,1.0001,14603199.014446
2026-05-04,USDC/USDT,1.0,1.0001,0.9999,1.0,41770895.95768
2026-05-05,USDC/USDT,1.0001,1.0001,0.9999,0.9999,45713696.03111
2026-05-06,USDC/USDT,1.0,1.0001,0.9998,1.0,54374247.875343
2026-05-07,USDC/USDT,1.0,1.0001,0.9999,1.0,41050159.596365
2026-05-08,USDC/USDT,1.0,1.0002,0.9999,0.9999,61398091.682704
2026-05-09,USDC/USDT,0.9999,1.0001,0.9999,1.0,29677178.824469
2026-05-10,USDC/USDT,1.0001,1.0001,0.9999,1.0,41488031.087284
2026-05-11,USDC/USDT,0.9999,1.0003,0.9999,1.0,80176540.36776
2026-05-12,USDC/USDT,1.0,1.0002,1.0,1.0001,56613183.473229
2026-05-13,USDC/USDT,1.0001,1.0004,1.0,1.0001,71554391.1874
2026-05-14,USDC/USDT,1.0001,1.0003,0.9998,1.0,74250090.331618
2026-05-15,USDC/USDT,1.0,1.0004,0.9999,1.0004,84063309.157766
2026-05-16,USDC/USDT,1.0004,1.0004,1.0002,1.0003,31795349.673428
2026-05-17,USDC/USDT,1.0002,1.0004,1.0001,1.0004,20588389.768507
2026-05-18,USDC/USDT,1.0004,1.0006,1.0002,1.0005,48671202.45364
2026-05-19,USDC/USDT,1.0005,1.0007,1.0004,1.0007,38091952.750699
2026-05-20,USDC/USDT,1.0006,1.001,1.0005,1.0007,92417506.849182
2026-05-21,USDC/USDT,1.0007,1.0008,1.0006,1.0007,37072548.813824
2026-05-22,USDC/USDT,1.0007,1.001,1.0006,1.0008,100128670.368394
2026-05-23,USDC/USDT,1.0009,1.0009,1.0007,1.0008,19326506.230954
