datetime,symbol,open,high,low,close,volume
2026-04-24,USDG/USDT,0.9999,1.0,0.9995,0.9996,23729819.8512
2026-04-25,USDG/USDT,0.9996,0.9998,0.9995,0.9996,5114958.9124
2026-04-26,USDG/USDT,0.9997,0.9999,0.9996,0.9998,8159015.9084
2026-04-27,USDG/USDT,0.9998,1.0,0.9997,1.0,16865187.7118
2026-04-28,USDG/USDT,1.0,1.0001,0.9998,0.9999,17715702.2475
2026-04-29,USDG/USDT,0.9999,1.0002,0.9998,1.0002,22347738.3153
2026-04-30,USDG/USDT,1.0002,1.0003,1.0001,1.0002,13404226.3499
2026-05-01,USDG/USDT,1.0002,1.0003,1.0,1.0,12996327.6105
2026-05-02,USDG/USDT,1.0001,1.0002,1.0,1.0,9057291.8344
2026-05-03,USDG/USDT,1.0001,1.0003,1.0,1.0001,10783571.568
2026-05-04,USDG/USDT,1.0001,1.0002,0.9999,1.0001,20827827.0815
2026-05-05,USDG/USDT,1.0001,1.0002,0.9999,1.0,18938678.8631
2026-05-06,USDG/USDT,1.0,1.0002,0.9999,1.0,17467064.8895
2026-05-07,USDG/USDT,1.0001,1.0002,1.0,1.0001,18434681.5243
2026-05-08,USDG/USDT,1.0,1.0002,0.9999,1.0001,14042303.7308
2026-05-09,USDG/USDT,1.0,1.0002,1.0,1.0,8615558.3785
2026-05-10,USDG/USDT,1.0001,1.0002,1.0,1.0,15533901.1983
2026-05-11,USDG/USDT,1.0001,1.0003,1.0,1.0002,21091200.5245
2026-05-12,USDG/USDT,1.0001,1.0003,1.0,1.0001,16812204.3476
2026-05-13,USDG/USDT,1.0001,1.0002,0.9999,1.0001,94717866.0192
2026-05-14,USDG/USDT,1.0001,1.0002,0.9996,0.9998,148678246.0401
2026-05-15,USDG/USDT,0.9998,1.0003,0.9996,1.0003,101906927.6887
2026-05-16,USDG/USDT,1.0003,1.0003,0.9999,1.0002,49751328.4226
2026-05-17,USDG/USDT,1.0002,1.0003,1.0001,1.0002,18463458.7622
2026-05-18,USDG/USDT,1.0002,1.0006,1.0002,1.0005,37060071.565
2026-05-19,USDG/USDT,1.0005,1.0007,1.0004,1.0007,29129813.2228
2026-05-20,USDG/USDT,1.0007,1.0009,1.0006,1.0006,28233196.803
2026-05-21,USDG/USDT,1.0007,1.001,1.0006,1.0008,58855702.7641
2026-05-22,USDG/USDT,1.0008,1.0011,1.0008,1.001,21392058.6924
2026-05-23,USDG/USDT,1.0009,1.001,1.0009,1.001,5526015.8795
