datetime,symbol,open,high,low,close,volume
2026-04-24,WLFI/USDT,0.07772,0.07797,0.0743,0.07527,35716828.99
2026-04-25,WLFI/USDT,0.07524,0.07646,0.0746,0.07505,16946947.12
2026-04-26,WLFI/USDT,0.07506,0.07564,0.0745,0.07505,24372434.67
2026-04-27,WLFI/USDT,0.07502,0.07546,0.07175,0.07271,72165940.62
2026-04-28,WLFI/USDT,0.07271,0.07441,0.07256,0.07373,21664476.28
2026-04-29,WLFI/USDT,0.07372,0.07417,0.06138,0.06319,123792988.78
2026-04-30,WLFI/USDT,0.06321,0.06435,0.05895,0.06077,89683839.41
2026-05-01,WLFI/USDT,0.06092,0.0619,0.05421,0.0545,133279314.88
2026-05-02,WLFI/USDT,0.0545,0.05704,0.05121,0.05549,138310612.08
2026-05-03,WLFI/USDT,0.05549,0.06038,0.05473,0.05836,114721133.03
2026-05-04,WLFI/USDT,0.05838,0.06724,0.05751,0.06357,162636961.19
2026-05-05,WLFI/USDT,0.06358,0.06674,0.06237,0.06517,99611577.27
2026-05-06,WLFI/USDT,0.06516,0.0685,0.06472,0.06713,66243772.5
2026-05-07,WLFI/USDT,0.06707,0.07621,0.0662,0.0741,116110678.56
2026-05-08,WLFI/USDT,0.07406,0.07581,0.07212,0.07528,64244617.71
2026-05-09,WLFI/USDT,0.07524,0.076,0.06858,0.06996,90735123.16
2026-05-10,WLFI/USDT,0.06999,0.07084,0.06686,0.06888,77761944.73
2026-05-11,WLFI/USDT,0.06888,0.06906,0.06499,0.06687,40064927.09
2026-05-12,WLFI/USDT,0.06681,0.06825,0.0652,0.06718,63615228.94
2026-05-13,WLFI/USDT,0.06718,0.06979,0.06546,0.06749,67677552.51
2026-05-14,WLFI/USDT,0.06748,0.07117,0.06706,0.06904,38857667.36
2026-05-15,WLFI/USDT,0.06895,0.0715,0.06499,0.06593,32757678.39
2026-05-16,WLFI/USDT,0.06594,0.06601,0.06014,0.06113,48870328.91
2026-05-17,WLFI/USDT,0.06111,0.06167,0.05817,0.06006,27915955.29
2026-05-18,WLFI/USDT,0.06008,0.06231,0.05925,0.06194,24138390.72
2026-05-19,WLFI/USDT,0.062,0.06306,0.05952,0.06006,20976938.45
2026-05-20,WLFI/USDT,0.06007,0.06515,0.05982,0.06266,27572086.79
2026-05-21,WLFI/USDT,0.06265,0.064,0.06104,0.06241,26081975.33
2026-05-22,WLFI/USDT,0.06243,0.06245,0.05889,0.06019,36970457.92
2026-05-23,WLFI/USDT,0.06018,0.06271,0.05899,0.06176,36768801.85
