datetime,symbol,open,high,low,close,volume
2026-04-24,XAUT/USDT,4686.9,4721.8,4651.3,4691.2,2321.903216
2026-04-25,XAUT/USDT,4691.0,4699.6,4688.4,4688.4,309.043178
2026-04-26,XAUT/USDT,4688.3,4710.7,4670.0,4675.0,1305.886026
2026-04-27,XAUT/USDT,4675.0,4713.4,4658.0,4686.4,1285.359227
2026-04-28,XAUT/USDT,4685.6,4691.5,4551.3,4590.7,3886.749568
2026-04-29,XAUT/USDT,4590.9,4604.1,4516.3,4559.4,3069.070878
2026-04-30,XAUT/USDT,4559.5,4636.3,4542.8,4614.6,2870.895024
2026-05-01,XAUT/USDT,4614.6,4647.3,4560.0,4601.7,3223.26114
2026-05-02,XAUT/USDT,4601.7,4603.6,4595.3,4597.2,610.520997
2026-05-03,XAUT/USDT,4597.3,4632.1,4596.8,4605.4,1315.419979
2026-05-04,XAUT/USDT,4605.4,4610.5,4503.5,4518.2,4669.137013
2026-05-05,XAUT/USDT,4518.3,4586.6,4512.5,4585.2,1943.145456
2026-05-06,XAUT/USDT,4585.3,4709.0,4579.7,4685.1,4884.032837
2026-05-07,XAUT/USDT,4685.1,4750.0,4671.1,4696.1,3081.072597
2026-05-08,XAUT/USDT,4696.2,4735.4,4688.0,4699.8,1992.663692
2026-05-09,XAUT/USDT,4699.8,4710.9,4697.2,4707.4,524.465576
2026-05-10,XAUT/USDT,4707.5,4718.9,4674.5,4686.7,1401.883479
2026-05-11,XAUT/USDT,4686.5,4755.2,4647.5,4754.6,2916.115381
2026-05-12,XAUT/USDT,4754.5,4758.8,4642.4,4711.5,2847.05812
2026-05-13,XAUT/USDT,4711.4,4719.2,4668.1,4688.9,1793.330406
2026-05-14,XAUT/USDT,4689.0,4707.8,4645.7,4652.1,2909.580173
2026-05-15,XAUT/USDT,4652.2,4656.6,4518.0,4542.5,7500.272732
2026-05-16,XAUT/USDT,4542.6,4544.0,4522.8,4538.5,1369.458809
2026-05-17,XAUT/USDT,4538.3,4551.4,4520.0,4533.6,2683.694212
2026-05-18,XAUT/USDT,4533.4,4580.4,4480.4,4574.0,3673.489923
2026-05-19,XAUT/USDT,4574.0,4580.3,4475.0,4490.9,4381.67734
2026-05-20,XAUT/USDT,4490.9,4548.4,4460.0,4540.1,4455.926617
2026-05-21,XAUT/USDT,4540.3,4560.9,4487.9,4528.7,3296.510459
2026-05-22,XAUT/USDT,4529.1,4532.7,4489.7,4495.2,2329.792158
2026-05-23,XAUT/USDT,4495.3,4508.6,4494.2,4504.5,431.409515
