datetime,symbol,open,high,low,close,volume
2026-04-24,XLM/USDT,0.17546,0.17687,0.17218,0.173,17133968.125023
2026-04-25,XLM/USDT,0.17302,0.17474,0.16967,0.16977,8902955.753623
2026-04-26,XLM/USDT,0.16976,0.17256,0.16811,0.17091,11357613.181761
2026-04-27,XLM/USDT,0.1709,0.17361,0.16433,0.16613,19515340.044103
2026-04-28,XLM/USDT,0.16611,0.16615,0.16109,0.16186,9708973.79952
2026-04-29,XLM/USDT,0.16185,0.16483,0.15832,0.15959,18584444.877848
2026-04-30,XLM/USDT,0.15952,0.16109,0.15833,0.15834,5530393.245423
2026-05-01,XLM/USDT,0.15831,0.16259,0.15831,0.15952,12770404.262485
2026-05-02,XLM/USDT,0.15956,0.16104,0.15885,0.15995,5209750.319078
2026-05-03,XLM/USDT,0.15997,0.16025,0.15784,0.15796,5844741.6964
2026-05-04,XLM/USDT,0.15795,0.16173,0.15658,0.15753,12787044.74644
2026-05-05,XLM/USDT,0.15751,0.16133,0.15726,0.15993,14006545.524418
2026-05-06,XLM/USDT,0.15984,0.16612,0.1598,0.16162,18815721.432812
2026-05-07,XLM/USDT,0.16162,0.16269,0.1576,0.15815,20950390.52589
2026-05-08,XLM/USDT,0.15819,0.16566,0.15742,0.16347,14395837.547841
2026-05-09,XLM/USDT,0.16349,0.16787,0.16147,0.16252,12397302.53272
2026-05-10,XLM/USDT,0.1625,0.17386,0.1608,0.16953,32581493.545909
2026-05-11,XLM/USDT,0.16955,0.17108,0.16461,0.16852,18725230.576318
2026-05-12,XLM/USDT,0.1685,0.16903,0.16123,0.16246,11880554.579961
2026-05-13,XLM/USDT,0.16245,0.16593,0.15772,0.15901,10420438.329233
2026-05-14,XLM/USDT,0.15896,0.16852,0.15804,0.16234,15620906.942413
2026-05-15,XLM/USDT,0.16236,0.16361,0.15371,0.15471,11140890.046002
2026-05-16,XLM/USDT,0.15459,0.15567,0.15,0.15184,10193394.345734
2026-05-17,XLM/USDT,0.15177,0.15291,0.14573,0.1494,6637254.576611
2026-05-18,XLM/USDT,0.14939,0.15052,0.14471,0.14724,10749422.860833
2026-05-19,XLM/USDT,0.14733,0.14848,0.14278,0.14353,16468076.207393
2026-05-20,XLM/USDT,0.14356,0.14509,0.14204,0.14391,20939426.675711
2026-05-21,XLM/USDT,0.14392,0.14885,0.14312,0.14665,9872541.578908
2026-05-22,XLM/USDT,0.14672,0.15061,0.14306,0.14351,8842171.70968
2026-05-23,XLM/USDT,0.14357,0.14554,0.13948,0.14514,7442453.048116
