datetime,symbol,open,high,low,close,volume
2026-04-24,XRP/USDT,1.4389,1.4509,1.4238,1.4334,12178163.340044
2026-04-25,XRP/USDT,1.4333,1.4376,1.4186,1.4239,5049394.242622
2026-04-26,XRP/USDT,1.4241,1.4361,1.4181,1.4307,7336483.64309
2026-04-27,XRP/USDT,1.4308,1.4468,1.3838,1.4007,17402358.138719
2026-04-28,XRP/USDT,1.4007,1.4008,1.3679,1.3807,12035564.020394
2026-04-29,XRP/USDT,1.3807,1.4062,1.3459,1.3693,16837626.630702
2026-04-30,XRP/USDT,1.3694,1.3847,1.359,1.368,11783413.132771
2026-05-01,XRP/USDT,1.3679,1.4,1.3647,1.3857,13849463.40703
2026-05-02,XRP/USDT,1.3858,1.4015,1.381,1.3936,11295797.206708
2026-05-03,XRP/USDT,1.3937,1.4043,1.3815,1.3881,6566112.615897
2026-05-04,XRP/USDT,1.388,1.4209,1.3831,1.3916,20600621.616589
2026-05-05,XRP/USDT,1.3917,1.4223,1.3903,1.4127,17060350.864798
2026-05-06,XRP/USDT,1.4126,1.4573,1.4074,1.4249,23471661.955523
2026-05-07,XRP/USDT,1.4249,1.4258,1.3801,1.387,20830389.431871
2026-05-08,XRP/USDT,1.387,1.4272,1.3777,1.4183,17790805.054209
2026-05-09,XRP/USDT,1.4184,1.435,1.4111,1.4205,16301686.197645
2026-05-10,XRP/USDT,1.4205,1.508,1.4118,1.4734,33566709.3287
2026-05-11,XRP/USDT,1.4736,1.4885,1.4401,1.4775,28396689.534644
2026-05-12,XRP/USDT,1.4776,1.4847,1.4182,1.437,22531945.466921
2026-05-13,XRP/USDT,1.4371,1.4694,1.4118,1.4274,23635764.20309
2026-05-14,XRP/USDT,1.4273,1.5502,1.4209,1.4853,39431069.81482
2026-05-15,XRP/USDT,1.4853,1.5004,1.4277,1.4342,29072003.555925
2026-05-16,XRP/USDT,1.4342,1.4394,1.3961,1.4136,24696006.959178
2026-05-17,XRP/USDT,1.4137,1.4292,1.3707,1.4016,17260829.062466
2026-05-18,XRP/USDT,1.4016,1.4028,1.3638,1.39,22059960.107463
2026-05-19,XRP/USDT,1.39,1.3978,1.353,1.3615,17623372.868711
2026-05-20,XRP/USDT,1.3615,1.3807,1.3471,1.3672,16270557.914935
2026-05-21,XRP/USDT,1.3671,1.3863,1.3515,1.3737,16199409.903798
2026-05-22,XRP/USDT,1.3739,1.3762,1.3301,1.3346,22035928.312893
2026-05-23,XRP/USDT,1.3347,1.3423,1.3014,1.3352,16416986.378166
