datetime,symbol,open,high,low,close,volume
2026-04-24,ZEC/USDT,342.7,367.34,335.53,359.2,14847.16808
2026-04-25,ZEC/USDT,359.19,361.56,351.16,358.92,9048.25669
2026-04-26,ZEC/USDT,358.82,362.95,348.68,354.99,5956.4724
2026-04-27,ZEC/USDT,355.13,364.7,349.3,355.47,11684.31103
2026-04-28,ZEC/USDT,355.22,355.22,330.46,336.2,9137.77304
2026-04-29,ZEC/USDT,336.01,340.46,318.13,327.65,7339.73936
2026-04-30,ZEC/USDT,327.57,356.71,324.87,350.69,15634.57945
2026-05-01,ZEC/USDT,350.69,392.83,342.55,385.06,29936.18401
2026-05-02,ZEC/USDT,385.03,395.0,371.29,387.58,11181.70325
2026-05-03,ZEC/USDT,387.79,416.73,379.15,413.33,35137.25437
2026-05-04,ZEC/USDT,413.34,436.98,397.86,422.59,27399.99856
2026-05-05,ZEC/USDT,422.75,555.42,415.79,516.81,36801.56161
2026-05-06,ZEC/USDT,516.94,606.24,504.23,554.29,45450.41858
2026-05-07,ZEC/USDT,554.35,586.0,533.46,574.62,38718.23036
2026-05-08,ZEC/USDT,574.71,626.62,554.96,613.39,33252.26589
2026-05-09,ZEC/USDT,613.39,642.98,584.03,594.64,22156.84514
2026-05-10,ZEC/USDT,594.67,619.06,555.0,592.79,24926.7901
2026-05-11,ZEC/USDT,592.99,594.78,547.44,557.01,17342.35675
2026-05-12,ZEC/USDT,556.79,576.22,541.34,571.27,11399.49355
2026-05-13,ZEC/USDT,571.47,592.26,514.4,524.43,25671.19606
2026-05-14,ZEC/USDT,524.55,569.66,517.77,560.26,28232.54655
2026-05-15,ZEC/USDT,560.31,564.59,506.7,515.21,22494.99474
2026-05-16,ZEC/USDT,515.22,519.74,486.21,511.31,16535.22144
2026-05-17,ZEC/USDT,511.17,555.08,496.73,536.04,19314.94628
2026-05-18,ZEC/USDT,535.95,572.0,515.58,563.55,27518.77004
2026-05-19,ZEC/USDT,563.47,582.85,550.77,573.98,18802.42768
2026-05-20,ZEC/USDT,573.47,689.75,568.28,674.06,55080.12368
2026-05-21,ZEC/USDT,673.62,687.58,646.05,664.61,23271.64957
2026-05-22,ZEC/USDT,664.69,666.41,581.67,583.08,24760.40039
2026-05-23,ZEC/USDT,583.26,611.47,570.0,605.35,18957.1763
