rank,name,symbol,current_price,market_cap,market_cap_formatted,price_change_24h,total_volume,last_updated
1,Bitcoin,BTC,75424.0,1511249095858,"$1,511,249,095,858",-1.65099,59559095232.0,2026-05-23 15:50:52
2,Ethereum,ETH,2056.06,248188896427,"$248,188,896,427",-2.89214,14833770912.0,2026-05-23 15:50:52
3,Tether,USDT,0.998825,189497829488,"$189,497,829,488",-0.00609,55174132088.0,2026-05-23 15:50:52
4,BNB,BNB,646.38,87145492797,"$87,145,492,797",-1.70948,766287496.0,2026-05-23 15:50:52
5,XRP,XRP,1.34,82584180343,"$82,584,180,343",-1.23368,3250237669.0,2026-05-23 15:50:53
6,USDC,USDC,0.999687,76455452512,"$76,455,452,512",-0.00989,11483673594.0,2026-05-23 15:50:52
7,Solana,SOL,83.88,48487615460,"$48,487,615,460",-3.08733,3219600483.0,2026-05-23 15:50:52
8,TRON,TRX,0.359333,34065353505,"$34,065,353,505",-0.67496,527303760.0,2026-05-23 15:50:45
9,Figure Heloc,FIGR_HELOC,1.02,18455022255,"$18,455,022,255",-1.25844,21340376.0,2026-05-23 15:50:50
10,Dogecoin,DOGE,0.100826,15566335616,"$15,566,335,616",-4.62579,2543764499.0,2026-05-23 15:50:48
11,Hyperliquid,HYPE,57.4,13704217565,"$13,704,217,565",-1.14411,1087839384.0,2026-05-23 15:50:48
12,USDS,USDS,0.999678,11111060757,"$11,111,060,757",0.00117,29250285.0,2026-05-23 15:50:48
13,Zcash,ZEC,606.7,10118224373,"$10,118,224,373",-3.89747,670394735.0,2026-05-23 15:50:48
14,LEO Token,LEO,9.93,9144401884,"$9,144,401,884",-0.54689,1646041.0,2026-05-23 15:50:50
15,Cardano,ADA,0.242059,8956251382,"$8,956,251,382",-2.78427,1258554285.0,2026-05-23 15:50:51
16,Bitcoin Cash,BCH,348.0,6973435791,"$6,973,435,791",-8.23323,429128162.0,2026-05-23 15:50:51
17,Monero,XMR,376.88,6951955001,"$6,951,955,001",-1.45775,405502266.0,2026-05-23 15:50:50
18,Chainlink,LINK,9.26,6733589210,"$6,733,589,210",-5.31151,941569165.0,2026-05-23 15:50:51
19,WhiteBIT Coin,WBT,55.59,6584995573,"$6,584,995,573",-1.75512,104196533.0,2026-05-23 15:50:46
20,Canton,CC,0.159055,6147722013,"$6,147,722,013",3.40278,8225101.0,2026-05-23 15:50:50
21,Stellar,XLM,0.145165,4863124728,"$4,863,124,728",-1.30361,115347954.0,2026-05-23 15:50:45
22,USD1,USD1,0.999328,4782669392,"$4,782,669,392",-0.01416,1206064498.0,2026-05-23 15:50:49
23,Toncoin,TON,1.77,4775982320,"$4,775,982,320",-9.53925,289160077.0,2026-05-23 15:50:46
24,Ethena USDe,USDE,0.999028,4442173046,"$4,442,173,046",0.00076,52906872.0,2026-05-23 15:50:47
25,Dai,DAI,0.9995,4350687454,"$4,350,687,454",-0.01748,170928133.0,2026-05-23 15:50:51
26,Sui,SUI,1.039,4162727272,"$4,162,727,272",-5.073,843423021.0,2026-05-23 15:50:47
27,Litecoin,LTC,52.9,4083426527,"$4,083,426,527",-1.91135,1088558922.0,2026-05-23 15:50:46
28,Avalanche,AVAX,9.12,3935375067,"$3,935,375,067",-3.25152,952606873.0,2026-05-23 15:50:46
29,Hedera,HBAR,0.087482,3792765501,"$3,792,765,501",-1.95216,72897343.0,2026-05-23 15:50:47
30,MemeCore,M,2.82,3672371814,"$3,672,371,814",0.3142,7844390.0,2026-05-23 15:50:48
31,PayPal USD,PYUSD,0.999717,3614213177,"$3,614,213,177",-0.00076,57590347.0,2026-05-23 15:50:49
32,Rain,RAIN,0.00732687,3510224574,"$3,510,224,574",-1.92046,26300395.0,2026-05-23 15:50:50
33,Shiba Inu,SHIB,5.59e-06,3291979685,"$3,291,979,685",-3.9419,81613250.0,2026-05-23 15:50:46
34,Cronos,CRO,0.068906,3086168243,"$3,086,168,243",-0.16378,56075302.0,2026-05-23 15:50:51
35,Circle USYC,USYC,1.13,2999359171,"$2,999,359,171",-0.00943,4800.32,2026-05-23 15:50:48
36,NEAR Protocol,NEAR,2.23,2877760154,"$2,877,760,154",1.36108,1506716669.0,2026-05-23 15:50:45
37,Global Dollar,USDG,0.999801,2748286520,"$2,748,286,520",0.00102,43707712.0,2026-05-23 15:50:48
38,Tether Gold,XAUT,4499.01,2667084207,"$2,667,084,207",-0.18656,98276211.0,2026-05-23 15:50:45
39,Bittensor,TAO,270.33,2594316071,"$2,594,316,071",-3.82159,239130105.0,2026-05-23 15:50:47
40,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,2511778553,"$2,511,778,553",0.0,0.0,2026-05-23 15:50:09
41,Uniswap,UNI,3.4,2162146806,"$2,162,146,806",-5.13545,1049716424.0,2026-05-23 15:50:51
42,Mantle,MNT,0.64702,2133999265,"$2,133,999,265",-1.55282,29994403.0,2026-05-23 15:50:47
43,Ondo US Dollar Yield,USDY,1.13,2132746210,"$2,132,746,210",-0.28416,1345616.0,2026-05-23 15:50:47
44,PAX Gold,PAXG,4502.29,2117622738,"$2,117,622,738",-0.13983,83745898.0,2026-05-23 15:50:52
45,Polkadot,DOT,1.24,2086743138,"$2,086,743,138",-5.6406,949508772.0,2026-05-23 15:50:45
46,Ondo,ONDO,0.41875,2041641852,"$2,041,641,852",-5.56504,583280644.0,2026-05-23 15:50:46
47,World Liberty Financial,WLFI,0.0619,1966998039,"$1,966,998,039",2.95538,53231290.0,2026-05-23 15:50:48
48,HTX DAO,HTX,2e-06,1810903074,"$1,810,903,074",-0.65562,52827512.0,2026-05-23 15:50:47
49,Falcon USD,USDF,0.99766,1780254425,"$1,780,254,425",-0.01827,421000.0,2026-05-23 15:50:49
50,Ripple USD,RLUSD,1.0,1757636458,"$1,757,636,458",0.01113,105445787.0,2026-05-23 15:50:48
